Ourcontigname,topnrMatch,Description,GOBP,GOMF,Keywords
contig108422_106981,predicted protein [Nematostella vectensis] gi|156229137|gb|EDO49933.1| predicted protein [Nematostella vectensis],Valacyclovir hydrolase,hydrolase activity (GO:0016787);,mitochondrion (GO:0005739);,3D-structure;Acetylation;Alternative splicing;Complete proteome;Direct protein sequencing;Hydrolase;Reference proteome;Signal.;
contig170562,predicted protein [Nematostella vectensis] gi|156229236|gb|EDO50032.1| predicted protein [Nematostella vectensis],Src substrate cortactin,protein binding (GO:0005515);,cell cortex (GO:0005938);cytoskeleton (GO:0005856);lamellipodium (GO:0030027);ruffle (GO:0001726);soluble fraction (GO:0005625);,3D-structure;Acetylation;Cell projection;Complete proteome;Cytoplasm;Cytoskeleton;Phosphoprotein;Reference proteome;Repeat;SH3 domain.;
contig174606,hypothetical protein TRIADDRAFT_54421 [Trichoplax adhaerens] gi|190586383|gb|EDV26436.1| hypothetical protein TRIADDRAFT_54421 [Trichoplax adhaerens],Villin-1,"actin filament binding (GO:0051015);calcium ion binding (GO:0005509);cysteine-type endopeptidase inhibitor activity involved in apoptotic process (GO:0043027);lysophosphatidic acid binding (GO:0035727);phosphatidylinositol-4,5-bisphosphate binding (GO:0005546);protein homodimerization activity (GO:0042803);",actin filament bundle (GO:0032432);cytoplasm (GO:0005737);filopodium tip (GO:0032433);intracellular membrane-bounded organelle (GO:0043231);lamellipodium (GO:0030027);microvillus (GO:0005902);ruffle (GO:0001726);,3D-structure;Actin capping;Actin-binding;Apoptosis;Calcium;Cell projection;Complete proteome;Cytoplasm;Cytoskeleton;Direct protein sequencing;Polymorphism;Reference proteome;Repeat.;
contig196248_204985_213848_77681,predicted protein [Nematostella vectensis] gi|156210973|gb|EDO32111.1| predicted protein [Nematostella vectensis],Fibronectin,heparin binding (GO:0008201);protein binding (GO:0005515);,proteinaceous extracellular matrix (GO:0005578);,3D-structure;Acute phase;Alternative splicing;Angiogenesis;Cell adhesion;Cell shape;Complete proteome;Disulfide bond;Extracellular matrix;Glycoprotein;Heparin-binding;Isopeptide bond;Phosphoprotein;Pyrrolidone carboxylic acid;Reference proteome;Repeat;Secreted;Signal;Sulfation.;
contig109222,predicted protein [Nematostella vectensis] gi|156210232|gb|EDO31422.1| predicted protein [Nematostella vectensis],Paraplegin,ATP binding (GO:0005524);metalloendopeptidase activity (GO:0004222);nucleoside-triphosphatase activity (GO:0017111);unfolded protein binding (GO:0051082);zinc ion binding (GO:0008270);,integral to membrane (GO:0016021);mitochondrial membrane (GO:0031966);,3D-structure;Alternative splicing;ATP-binding;Complete proteome;Disease mutation;Hereditary spastic paraplegia;Hydrolase;Membrane;Metal-binding;Metalloprotease;Mitochondrion;Neurodegeneration;Nitration;Nucleotide-binding;Osteogenesis imperfecta;Polymorphism;Protease;Reference proteome;Transmembrane;Transmembrane helix;Zinc.;
contig105422,predicted protein [Nematostella vectensis] gi|156212423|gb|EDO33483.1| predicted protein [Nematostella vectensis],"Methylglutaconyl-CoA hydratase, mitochondrial",enoyl-CoA hydratase activity (GO:0004300);methylglutaconyl-CoA hydratase activity (GO:0004490);mRNA 3'-UTR binding (GO:0003730);,mitochondrial matrix (GO:0005759);,3D-structure;Alternative splicing;Branched-chain amino acid catabolism;Complete proteome;Direct protein sequencing;Disease mutation;Lyase;Mitochondrion;Reference proteome;RNA-binding;Transit peptide.;
contig147828,predicted protein [Nematostella vectensis] gi|156222886|gb|EDO43726.1| predicted protein [Nematostella vectensis],Low-density lipoprotein receptor-related protein 8,apolipoprotein E binding (GO:0034187);calcium ion binding (GO:0005509);transmembrane signaling receptor activity (GO:0004888);very-low-density lipoprotein particle receptor activity (GO:0030229);,caveola (GO:0005901);extracellular region (GO:0005576);integral to membrane (GO:0016021);,3D-structure;Alternative splicing;Calcium;Cell membrane;Complete proteome;Disulfide bond;EGF-like domain;Endocytosis;Glycoprotein;Membrane;Phosphoprotein;Polymorphism;Receptor;Reference proteome;Repeat;Secreted;Signal;Transmembrane;Transmembrane helix;Ubl conjugation.;
contig147427,predicted protein [Nematostella vectensis] gi|156223819|gb|EDO44650.1| predicted protein [Nematostella vectensis],Intersectin-2,calcium ion binding (GO:0005509);Rho guanyl-nucleotide exchange factor activity (GO:0005089);SH3/SH2 adaptor activity (GO:0005070);,cytoplasm (GO:0005737);,3D-structure;Alternative splicing;Calcium;Coiled coil;Complete proteome;Cytoplasm;Endocytosis;Phosphoprotein;Polymorphism;Reference proteome;Repeat;SH3 domain.;
contig109724,"PREDICTED: similar to collagen, type XXIX, alpha 1, partial [Hydra magnipapillata]",Collagen alpha-3(VI) chain,serine-type endopeptidase inhibitor activity (GO:0004867);,collagen type VI (GO:0005589);extracellular space (GO:0005615);,3D-structure;Alternative splicing;Cell adhesion;Collagen;Complete proteome;Direct protein sequencing;Disease mutation;Disulfide bond;Extracellular matrix;Glycoprotein;Hydroxylation;Polymorphism;Protease inhibitor;Pyrrolidone carboxylic acid;Reference proteome;Repeat;Secreted;Serine protease inhibitor;Signal.;
contig72893,PREDICTED: DNA polymerase eta [Callithrix jacchus],DNA polymerase eta,damaged DNA binding (GO:0003684);DNA-directed DNA polymerase activity (GO:0003887);metal ion binding (GO:0046872);,cytoplasm (GO:0005737);nucleoplasm (GO:0005654);,3D-structure;Alternative splicing;Complete proteome;Direct protein sequencing;Disease mutation;DNA damage;DNA repair;DNA replication;DNA synthesis;DNA-binding;DNA-directed DNA polymerase;Magnesium;Metal-binding;Mutator protein;Nucleotidyltransferase;Nucleus;Phosphoprotein;Polymorphism;Reference proteome;Schiff base;Transferase;Xeroderma pigmentosum.;
contig194905,hypothetical protein BRAFLDRAFT_118661 [Branchiostoma floridae] gi|229292489|gb|EEN63153.1| hypothetical protein BRAFLDRAFT_118661 [Branchiostoma floridae],Cleavage and polyadenylation specificity factor subunit 4,RNA binding (GO:0003723);zinc ion binding (GO:0008270);,mRNA cleavage and polyadenylation specificity factor complex (GO:0005847);,3D-structure;Alternative splicing;Complete proteome;Host-virus interaction;Metal-binding;mRNA processing;Nucleus;Phosphoprotein;Reference proteome;Repeat;RNA-binding;Zinc;Zinc-finger.;
contig18792_214067_170346_210278_93322,predicted protein [Nematostella vectensis] gi|156224171|gb|EDO44999.1| predicted protein [Nematostella vectensis],Allene oxide synthase-lipoxygenase protein,arachidonate 8-lipoxygenase activity (GO:0047677);catalase activity (GO:0004096);hydroperoxide dehydratase activity (GO:0047987);iron ion binding (GO:0005506);lipoxygenase activity (GO:0016165);,cytoplasm (GO:0005737);membrane (GO:0016020);,3D-structure;Calcium;Cytoplasm;Dioxygenase;Fatty acid biosynthesis;Heme;Iron;Lipid synthesis;Lyase;Membrane;Metal-binding;Multifunctional enzyme;Oxidoreductase;Oxylipin biosynthesis.;
contig177270,predicted protein [Nematostella vectensis] gi|156209536|gb|EDO30803.1| predicted protein [Nematostella vectensis],Disintegrin and metalloproteinase domain-containing protein 10,metalloendopeptidase activity (GO:0004222);protein homodimerization activity (GO:0042803);protein kinase binding (GO:0019901);SH3 domain binding (GO:0017124);zinc ion binding (GO:0008270);,cell surface (GO:0009986);Golgi membrane (GO:0000139);Golgi-associated vesicle (GO:0005798);integral to membrane (GO:0016021);nucleus (GO:0005634);plasma membrane (GO:0005886);,3D-structure;Cell membrane;Cleavage on pair of basic residues;Complete proteome;Direct protein sequencing;Disulfide bond;Glycoprotein;Golgi apparatus;Hydrolase;Membrane;Metal-binding;Metalloprotease;Notch signaling pathway;Protease;Reference proteome;SH3-binding;Signal;Transmembrane;Transmembrane helix;Zinc;Zymogen.;
contig203682,predicted protein [Nematostella vectensis] gi|156228664|gb|EDO49462.1| predicted protein [Nematostella vectensis],Golgi-associated plant pathogenesis-related protein 1,No_GOMF,extracellular region (GO:0005576);Golgi membrane (GO:0000139);,3D-structure;Coiled coil;Complete proteome;Direct protein sequencing;Golgi apparatus;Lipoprotein;Membrane;Myristate;Reference proteome.;
contig179959,predicted protein [Nematostella vectensis] gi|156214565|gb|EDO35549.1| predicted protein [Nematostella vectensis],Gastric triacylglycerol lipase,lipid binding (GO:0008289);triglyceride lipase activity (GO:0004806);,extracellular region (GO:0005576);,3D-structure;Complete proteome;Direct protein sequencing;Disulfide bond;Glycoprotein;Hydrolase;Lipid degradation;Polymorphism;Reference proteome;Secreted;Signal.;
contig151272,"alcohol dehydrogenase [Candidatus Solibacter usitatus Ellin6076] gi|116229629|gb|ABJ88338.1| Alcohol dehydrogenase, zinc-binding domain protein [Candidatus Solibacter usitatus Ellin6076]",Quinone oxidoreductase 1,NADPH (GO:0003960);zinc ion binding (GO:0008270);,cytoplasm (GO:0005737);,3D-structure;Complete proteome;NADP;Oxidoreductase;Reference proteome.;
contig155850_188983,oxidoreductase [Enterococcus casseliflavus EC20] gi|257809806|gb|EEV38626.1| oxidoreductase [Enterococcus casseliflavus EC20],Quinone oxidoreductase 1,NADPH (GO:0003960);zinc ion binding (GO:0008270);,cytoplasm (GO:0005737);,3D-structure;Complete proteome;NADP;Oxidoreductase;Reference proteome.;
contig94332,predicted protein [Nematostella vectensis] gi|156226565|gb|EDO47374.1| predicted protein [Nematostella vectensis],Dihydroxy-acid dehydratase 2,"4 iron, 4 sulfur cluster binding (GO:0051539);dihydroxy-acid dehydratase activity (GO:0004160);metal ion binding (GO:0046872);",No_GOCC,4Fe-4S;Amino-acid biosynthesis;Branched-chain amino acid biosynthesis;Complete proteome;Iron;Iron-sulfur;Lyase;Metal-binding.;
contig177386,predicted protein [Nematostella vectensis] gi|156221736|gb|EDO42588.1| predicted protein [Nematostella vectensis],F-actin-capping protein subunit alpha-2,actin binding (GO:0003779);,F-actin capping protein complex (GO:0008290);,Acetylation;Actin capping;Actin-binding;Phosphoprotein.;
contig156955,predicted protein [Nematostella vectensis] gi|156227312|gb|EDO48116.1| predicted protein [Nematostella vectensis],Probable global transcription activator SNF2L2,ATP binding (GO:0005524);helicase activity (GO:0004386);protein binding (GO:0005515);,nBAF complex (GO:0071565);npBAF complex (GO:0071564);SWI/SNF complex (GO:0016514);,Acetylation;Activator;ATP-binding;Bromodomain;Complete proteome;DNA-binding;Helicase;Hydrolase;Neurogenesis;Nucleotide-binding;Nucleus;Phosphoprotein;Reference proteome;Transcription;Transcription regulation.;
contig209078,predicted protein [Nematostella vectensis] gi|156223270|gb|EDO44107.1| predicted protein [Nematostella vectensis],RNA polymerase-associated protein RTF1 homolog,single-stranded DNA binding (GO:0003697);,nucleolus (GO:0005730);nucleoplasm (GO:0005654);,Acetylation;Activator;Coiled coil;Complete proteome;DNA-binding;Nucleus;Phosphoprotein;Reference proteome;Transcription;Transcription regulation.;
contig151508,"amyotrophic lateral sclerosis 2 (juvenile), isoform CRA_a [Homo sapiens]",Alsin,protein homodimerization activity (GO:0042803);protein serine/threonine kinase activator activity (GO:0043539);Rab GTPase binding (GO:0017137);Rab guanyl-nucleotide exchange factor activity (GO:0017112);Rac guanyl-nucleotide exchange factor activity (GO:0030676);Ran guanyl-nucleotide exchange factor activity (GO:0005087);,centrosome (GO:0005813);cytosol (GO:0005829);dendrite (GO:0030425);early endosome (GO:0005769);growth cone (GO:0030426);lamellipodium (GO:0030027);protein complex (GO:0043234);ruffle (GO:0001726);,Acetylation;Alternative splicing;Amyotrophic lateral sclerosis;Complete proteome;Guanine-nucleotide releasing factor;Neurodegeneration;Phosphoprotein;Polymorphism;Reference proteome;Repeat.;
contig75420_218277,PREDICTED: similar to spleen mitotic checkpoint BUB3 isoform 1 [Strongylocentrotus purpuratus] gi|115925966|ref|XP_001177102.1| PREDICTED: similar to spleen mitotic checkpoint BUB3 [Strongylocentrotus purpuratus],Mitotic checkpoint protein BUB3,protein binding (GO:0005515);,condensed chromosome kinetochore (GO:0000777);cytosol (GO:0005829);nucleus (GO:0005634);,Acetylation;Alternative splicing;Cell cycle;Cell division;Centromere;Chromosome;Chromosome partition;Complete proteome;Isopeptide bond;Kinetochore;Meiosis;Mitosis;Nucleus;Phosphoprotein;Reference proteome;Repeat;Ubl conjugation;WD repeat.;
contig96899,predicted protein [Nematostella vectensis] gi|156227171|gb|EDO47976.1| predicted protein [Nematostella vectensis],Septin-9,GTP binding (GO:0005525);,cytoplasm (GO:0005737);cytoskeleton (GO:0005856);,Acetylation;Alternative splicing;Cell cycle;Cell division;Complete proteome;Cytoplasm;Cytoskeleton;Direct protein sequencing;GTP-binding;Nucleotide-binding;Phosphoprotein;Reference proteome.;
contig146940,predicted protein [Nematostella vectensis] gi|156209208|gb|EDO30528.1| predicted protein [Nematostella vectensis],Eukaryotic translation initiation factor 4E transporter,protein binding (GO:0005515);protein transporter activity (GO:0008565);,nucleus (GO:0005634);,Acetylation;Alternative splicing;Complete proteome;Cytoplasm;Nucleus;Phosphoprotein;Protein transport;Reference proteome;Transport.;
contig80779,predicted protein [Nematostella vectensis] gi|156215645|gb|EDO36600.1| predicted protein [Nematostella vectensis],Rotatin,binding (GO:0005488);,No_GOCC,Acetylation;Alternative splicing;Complete proteome;Developmental protein;Reference proteome.;
contig209206,predicted protein [Nematostella vectensis] gi|156212111|gb|EDO33185.1| predicted protein [Nematostella vectensis],Pre-mRNA-processing factor 6,androgen receptor binding (GO:0050681);binding (GO:0005488);ribonucleoprotein complex binding (GO:0043021);transcription coactivator activity (GO:0003713);,catalytic step 2 spliceosome (GO:0071013);nucleoplasm (GO:0005654);nucleus (GO:0005634);U4/U6 snRNP (GO:0071001);U4/U6 x U5 tri-snRNP complex (GO:0046540);U5 snRNP (GO:0005682);,Acetylation;Alternative splicing;Complete proteome;Direct protein sequencing;Disease mutation;mRNA processing;mRNA splicing;Nucleus;Phosphoprotein;Reference proteome;Repeat;Spliceosome.;
contig187113_211938_187176_190571,predicted protein [Nematostella vectensis] gi|156220498|gb|EDO41366.1| predicted protein [Nematostella vectensis],Far upstream element-binding protein 3,DNA binding (GO:0003677);RNA binding (GO:0003723);,nucleus (GO:0005634);,Acetylation;Alternative splicing;Complete proteome;Direct protein sequencing;DNA-binding;Nucleus;Phosphoprotein;Reference proteome;Repeat;Transcription;Transcription regulation.;
contig145732,predicted protein [Nematostella vectensis] gi|156224708|gb|EDO45532.1| predicted protein [Nematostella vectensis],Myelin expression factor 2,DNA binding (GO:0003677);nucleotide binding (GO:0000166);RNA binding (GO:0003723);,Golgi apparatus (GO:0005794);nucleus (GO:0005634);,Acetylation;Alternative splicing;Complete proteome;DNA-binding;Nucleus;Phosphoprotein;Polymorphism;Reference proteome;Repeat;Repressor;RNA-binding;Transcription.;
contig105647,predicted protein [Nematostella vectensis] gi|156215464|gb|EDO36423.1| predicted protein [Nematostella vectensis],tRNA (adenine-N(1)-)-methyltransferase non-catalytic subunit TRM6,translation initiation factor activity (GO:0003743);,nucleus (GO:0005634);,Acetylation;Alternative splicing;Complete proteome;Nucleus;Phosphoprotein;Reference proteome;tRNA processing.;
contig207907,PREDICTED: glucose-6-phosphate isomerase-like [Monodelphis domestica],Glucose-6-phosphate isomerase,cytokine activity (GO:0005125);glucose-6-phosphate isomerase activity (GO:0004347);,cytoplasm (GO:0005737);extracellular space (GO:0005615);,Acetylation;Angiogenesis;Complete proteome;Cytokine;Cytoplasm;Gluconeogenesis;Glycolysis;Isomerase;Phosphoprotein;Reference proteome;Secreted;Ubl conjugation.;
contig178828,"PREDICTED: ATPase family, AAA domain containing 3A [Taeniopygia guttata]",ATPase family AAA domain-containing protein 3,ATP binding (GO:0005524);nucleoside-triphosphatase activity (GO:0017111);,No_GOCC,Acetylation;ATP-binding;Coiled coil;Complete proteome;Nucleotide-binding;Reference proteome.;
contig210425,predicted protein [Nematostella vectensis] gi|156225854|gb|EDO46668.1| predicted protein [Nematostella vectensis],CTP synthase 1,ATP binding (GO:0005524);CTP synthase activity (GO:0003883);,No_GOCC,Acetylation;ATP-binding;Complete proteome;Glutamine amidotransferase;Ligase;Nucleotide-binding;Phosphoprotein;Pyrimidine biosynthesis;Reference proteome.;
contig148667,predicted protein [Nematostella vectensis] gi|156225115|gb|EDO45935.1| predicted protein [Nematostella vectensis],Squidulin,calcium ion binding (GO:0005509);,No_GOCC,Acetylation;Calcium;Direct protein sequencing;Repeat.;
contig106958,Rai-chu 101 [synthetic construct],GTPase HRas,GTP binding (GO:0005525);,Golgi membrane (GO:0000139);microsome (GO:0005792);plasma membrane (GO:0005886);soluble fraction (GO:0005625);,Acetylation;Cell membrane;Complete proteome;Golgi apparatus;GTP-binding;Lipoprotein;Membrane;Methylation;Nucleotide-binding;Palmitate;Prenylation;Proto-oncogene;Reference proteome;S-nitrosylation.;
contig115709,GTPase hras [Ictalurus furcatus],GTPase HRas,GTP binding (GO:0005525);,Golgi membrane (GO:0000139);microsome (GO:0005792);plasma membrane (GO:0005886);soluble fraction (GO:0005625);,Acetylation;Cell membrane;Complete proteome;Golgi apparatus;GTP-binding;Lipoprotein;Membrane;Methylation;Nucleotide-binding;Palmitate;Prenylation;Proto-oncogene;Reference proteome;S-nitrosylation.;
contig171924,predicted protein [Nematostella vectensis] gi|156226663|gb|EDO47471.1| predicted protein [Nematostella vectensis],Ras-related protein Rab-10,GTP binding (GO:0005525);,plasma membrane (GO:0005886);,Acetylation;Cell membrane;GTP-binding;Lipoprotein;Membrane;Nucleotide-binding;Prenylation;Protein transport;Transport.;
contig169643,conserved hypothetical protein [Ixodes scapularis] gi|215491190|gb|EEC00831.1| conserved hypothetical protein [Ixodes scapularis],Nucleoprotein TPR,ATP binding (GO:0005524);protein binding (GO:0005515);serine-tRNA ligase activity (GO:0004828);,condensed chromosome kinetochore (GO:0000777);cytoplasm (GO:0005737);nuclear membrane (GO:0031965);nuclear pore (GO:0005643);nucleoplasm (GO:0005654);,Acetylation;Centromere;Chromosomal rearrangement;Chromosome;Coiled coil;Complete proteome;Direct protein sequencing;Kinetochore;Membrane;mRNA transport;Nuclear pore complex;Nucleus;Phosphoprotein;Polymorphism;Protein transport;Proto-oncogene;Reference proteome;Translocation;Transport.;
contig208202_193912_216429,predicted protein [Nematostella vectensis] gi|156212612|gb|EDO33664.1| predicted protein [Nematostella vectensis],Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform,binding (GO:0005488);,"chromosome, centromeric region (GO:0000775);cytoplasm (GO:0005737);",Acetylation;Centromere;Chromosome;Chromosome partition;Complete proteome;Cytoplasm;Repeat.;
contig146847,predicted protein [Nematostella vectensis] gi|156228820|gb|EDO49617.1| predicted protein [Nematostella vectensis],Tetratricopeptide repeat protein 38,binding (GO:0005488);,No_GOCC,Acetylation;Complete proteome;Polymorphism;Reference proteome;Repeat;TPR repeat.;
contig104683,PREDICTED: similar to MGC79770 protein [Strongylocentrotus purpuratus] gi|115973265|ref|XP_001177559.1| PREDICTED: similar to MGC79770 protein [Strongylocentrotus purpuratus],Rho GDP-dissociation inhibitor 1,GTPase activator activity (GO:0005096);Rho GDP-dissociation inhibitor activity (GO:0005094);,cytoplasm (GO:0005737);,Acetylation;Cytoplasm;GTPase activation.;
