"modGenes","modUniprotIDs"
"contig74417_15054_99044","B5FXE5"
"contig188920","No_Uniprotmatch"
"contig219993_140410_20908_139044_185469_155885_76490_215268_82936_147041_55858","Q9FS16"
"contig209638","P47791"
"contig82810","A6H6W9"
"contig170295_174494_174549","Q9YH64"
"contig150193","Q16990"
"contig177134","Q9PRL8"
"contig56227","Q7Z6L1"
"contig203886","Q2NL26"
"contig211038","O35116"
"contig68166","No_Uniprotmatch"
"contig178477","No_Uniprotmatch"
"contig179431_109249","Q9CQ19"
"contig93195_68951","P20072"
"contig171792","B7T148"
"contig51250","P15265"
"contig177032","Q9R1C7"
"contig60030_132065","P32323"
"contig147775","Q5NVR2"
"contig149539","No_Uniprotmatch"
"contig81472","A5D7P8"
"contig73427","Q9NY47"
"contig169613","E7D1S8"
"contig79463","Q9Z2I4"
"contig204327","No_Uniprotmatch"
"contig170211","D8LR46"
"contig147651","No_Uniprotmatch"
"contig209383","No_Uniprotmatch"
"contig66868","Q6VQ14"
"contig178322","Q8AXY5"
"contig78633","Q5R8G3"
"contig218294","No_Uniprotmatch"
"contig212170","No_Uniprotmatch"
"contig177223","No_Uniprotmatch"
"contig82168_160346_218108_157452_210903","Q68US5"
"contig184253_153996_125963","P36423"
"contig168753","No_Uniprotmatch"
"contig68406","Q54QQ2"
"contig58741","Q96RW7"
"contig73390_71729","F2RD36"
"contig97431_93653_147002","No_Uniprotmatch"
"contig71979","No_Uniprotmatch"
"contig170750","Q62565"
"contig203493","No_Uniprotmatch"
"contig209729","O46629"
"contig175662","Q8IVV2"
"contig72029_152090","Q6PHH3"
"contig204973_69006","No_Uniprotmatch"
"contig147036","Q5UNY5"
"contig180103","Q5F489"
"contig151240","D7G8W2"
"contig204445_176332","Q80T32"
"contig145513","Q8IVV2"
"contig98460","Q9NZ32"
"contig203682","Q9H4G4"
"contig80638","No_Uniprotmatch"
"contig169282","B7T148"
"contig79613_159385","Q68US5"
"contig167053","No_Uniprotmatch"
"contig118498_149201","P16230"
"contig187012","Q27245"
"contig108171","Q5RJH2"
"contig175721","Q04467"
"contig145710","P58197"
"contig112892","No_Uniprotmatch"
"contig150468","C0JKE8"
"contig154864","P35280"
"contig81094","Q15BR1"
"contig145471","P49706"
"contig176087","P52209"
"contig176235","Q6PIX5"
"contig120221","B7T146"
"contig9674","B3S017"
"contig214599_156365","A5D9H7"
"contig69716","Q90XW6"
