Ourcontigname,AnnoOrigin,ContigName,ContigLength,topnrMatch,topnrEvalue,nobadwordnrMatch,nobadwordnrEvalue,Uniprotmatch,X._identity,evalue,ID,Description,KEGG,KEGGKO,GO,GOCC,GOBP,GOMF,Keywords,X,X.1,X.2,X.3,X.4,X.5,X.6,X.7,X.8,X.9,X.10,X.11,X.12,X.13,X.14
contig1214,Matz_milleporaESTs,isotig03085,977,predicted protein [Nematostella vectensis] gi|156225380|gb|EDO46198.1| predicted protein [Nematostella vectensis],5.46E-14,thymopoietin [Danio rerio],7.90E-05,B3RIA0,35.14,3.00E-05,B3RIA0_TRIAD,Putative uncharacterized protein,tad:TRIADDRAFT_52400,No_KEGGKO,GO:0005635,No_GOBP,No_GOMF,nuclear envelope (GO:0005635);,No_keywords,,,,,,,,,,,,,,,
contig2212,33496_denovo,contig2212,297,conserved hypothetical protein [Capsaspora owczarzaki ATCC 30864],8.23E-11,"cirrhosis, autosomal recessive 1A (cirhin), isoform CRA_e [Homo sapiens]",2.93E-08,Q969X6,32.18,1.00E-09,CIR1A_HUMAN,Cirhin,hsa:84916,K14548,GO:0005730,No_GOBP,No_GOMF,nucleolus (GO:0005730);,Alternative splicing;Complete proteome;Disease mutation;Nucleus;Polymorphism;Reference proteome;Repeat;WD repeat.;,,,,,,,,,,,,,,,
contig8916,33496_denovo,contig8916,379,PREDICTED: coiled-coil domain containing 124-like [Saccoglossus kowalevskii],3.47E-09,coiled-coil domain-containing protein 124 [Bos taurus] gi|119368239|sp|Q2TBV6.1|CC124_BOVIN RecName: Full=Coiled-coil domain-containing protein 124 gi|83638570|gb|AAI09592.1| Coiled-coil domain containing 124 [Bos taurus] gi|296486060|gb|DAA28173.1| coiled-coil domain-containing protein 124 [Bos taurus],7.74E-09,Q2TBV6,68.18,3.00E-10,CC124_BOVIN,Coiled-coil domain-containing protein 124,bta:510778,No_KEGGKO,GO:0003677,No_GOBP,DNA binding (GO:0003677);,No_GOCC,Coiled coil;Complete proteome;Phosphoprotein;Reference proteome.;,,,,,,,,,,,,,,,
contig12804,adi_v1_predictedtranscripts,adi_v1.18235,1071,hypothetical protein NEMVEDRAFT_v1g223487 [Nematostella vectensis] gi|156204436|gb|EDO27985.1| predicted protein [Nematostella vectensis],5.91E-20,Unknown (protein for IMAGE:7707887) [Xenopus (Silurana) tropicalis],6.77E-16,Q9ESJ4,30.07,3.00E-14,SPN90_MOUSE,NCK-interacting protein with SH3 domain,mmu:80987,No_KEGGKO,GO:0017124,No_GOBP,SH3 domain binding (GO:0017124);,No_GOCC,Complete proteome;Nucleus;Phosphoprotein;Reference proteome;SH3 domain;SH3-binding.;,,,,,,,,,,,,,,,
contig20275,33496_denovo,contig20275,262,predicted protein [Nematostella vectensis] gi|156218664|gb|EDO39558.1| predicted protein [Nematostella vectensis],1.27E-27,mKIAA1892 protein [Mus musculus],4.84E-19,Q8BGZ3,52.27,2.00E-20,DCA12_MOUSE,DDB1- and CUL4-associated factor 12,mmu:68970,K11803,GO:0080008,No_GOBP,No_GOMF,CUL4 RING ubiquitin ligase complex (GO:0080008);,Complete proteome;Cytoplasm;Cytoskeleton;Reference proteome;Repeat;Ubl conjugation pathway;WD repeat.;,,,,,,,,,,,,,,,
contig25111,33496_denovo,contig25111,202,predicted protein [Nematostella vectensis] gi|156228761|gb|EDO49559.1| predicted protein [Nematostella vectensis],1.71E-08,mCG5393 [Mus musculus],0.00097265,Q6ZQL4,50,4.00E-05,WDR43_MOUSE,WD repeat-containing protein 43,mmu:72515,K14546,GO:0005730,No_GOBP,No_GOMF,nucleolus (GO:0005730);,Complete proteome;Nucleus;Phosphoprotein;Reference proteome;Repeat;WD repeat.;,,,,,,,,,,,,,,,
contig56370,33496_denovo,contig56370,789,predicted protein [Nematostella vectensis] gi|156218665|gb|EDO39559.1| predicted protein [Nematostella vectensis],2.85E-38,thrombospondin 4 [Mus musculus],1.12E-26,Q9Z1T2,39.86,7.00E-28,TSP4_MOUSE,Thrombospondin-4,mmu:21828,K04659,GO:0005198,No_GOBP,structural molecule activity (GO:0005198);,No_GOCC,Calcium;Cell adhesion;Complete proteome;Disulfide bond;EGF-like domain;Glycoprotein;Reference proteome;Repeat;Signal.;,,,,,,,,,,,,,,,
contig59809,adi_v1_predictedtranscripts,adi_v1.16283,1513,"PREDICTED: hypothetical protein, partial [Strongylocentrotus purpuratus]",7.89E-14,"PREDICTED: hypothetical protein, partial [Strongylocentrotus purpuratus]",7.89E-14,B3SCA3,41.23,1.00E-12,B3SCA3_TRIAD,Putative uncharacterized protein,tad:TRIADDRAFT_64391,No_KEGGKO,GO:0004871,No_GOBP,signal transducer activity (GO:0004871);,No_GOCC,No_keywords,,,,,,,,,,,,,,,
contig60580,adi_v1_predictedtranscripts,adi_v1.10158,1582,PREDICTED: PBX/knotted 1 homeobox 2 [Taeniopygia guttata],7.72E-60,"PBX/knotted 1 homeobox 1, isoform CRA_a [Homo sapiens]",2.34E-40,P55347,58.67,1.00E-41,PKNX1_HUMAN,Homeobox protein PKNOX1,hsa:5316,No_KEGGKO,GO:0043565,No_GOBP,sequence-specific DNA binding (GO:0043565);,No_GOCC,3D-structure;Alternative splicing;Complete proteome;DNA-binding;Homeobox;Nucleus;Polymorphism;Reference proteome.;,,,,,,,,,,,,,,,
contig68550,33496_denovo,contig68550,515,predicted protein [Nematostella vectensis] gi|156214229|gb|EDO35223.1| predicted protein [Nematostella vectensis],1.57E-28,mediator complex subunit 14 [synthetic construct],1.93E-18,A2ABV5,37.95,2.00E-19,MED14_MOUSE,Mediator of RNA polymerase II transcription subunit 14,mmu:26896,K15156,GO:0016592,No_GOBP,No_GOMF,mediator complex (GO:0016592);,Activator;Alternative splicing;Complete proteome;Nucleus;Phosphoprotein;Reference proteome;Repeat;Transcription;Transcription regulation.;,,,,,,,,,,,,,,,
