"modGenes","modUniprotIDs"
"contig176289_120118_153740_72036_88343_162349","D7G5T0"
"contig112964","Q5QD04"
"contig153295","Q64507"
"contig108258","Q91ZV7"
"contig160146_209213","Q8N8K9"
"contig94465","F4QCW7"
"contig70428_12324","Q8N5D0"
"contig210266","P52787"
"contig74059","Q96P53"
"contig22500_194707_138922","P54611"
"contig178975","No_Uniprotmatch"
"contig106086_185376","Q8WNR9"
"contig137477","Q32LN0"
"contig166819_105426","D7G5T0"
"contig82363","Q6NZW8"
"contig99713","Q0VD51"
"contig69270","No_Uniprotmatch"
"contig145504","Q54TR1"
"contig183071","Q99JW4"
"contig93735","Q28DG7"
"contig182293","Q06AU7"
"contig173788","O15439"
"contig107862_136900","No_Uniprotmatch"
"contig176130","Q8TAQ2"
"contig151648_106579","Q8K2W9"
"contig171518","O73715"
"contig116696","Q8TER0"
"contig212379","P52164"
"contig65391","Q01177"
"contig185704","P0C588"
"contig214637_183712","No_Uniprotmatch"
"contig75376","Q8K4Y7"
"contig118171_181308_213955","Q8BX35"
"contig181921_10991","Q9N0A4"
"contig139348","P70584"
"contig147140","Q8K5C0"
"contig175597","Q4A3R3"
"contig170659","D7G5T0"
"contig153374","Q4A3R3"
"contig177804","Q06AU7"
"contig152142","P78563"
"contig4366","Q54E24"
"contig207926","C3Z4W9"
"contig600113","Q96CG8"
"contig113530","P41236"
"contig213528","No_Uniprotmatch"
"contig128293","Q80UN9"
"contig148048","Q6PDJ1"
"contig117881","Q69ZW3"
"contig152789","Q5F3U9"
"contig96512_180482_99071_213829","P53625"
"contig169202","Q24133"
"contig148035_194027","A8WIP6"
"contig212865","O15067"
"contig209131","Q6PBE2"
"contig192949","O15439"
"contig194257_194476","Q91614"
"contig147967","F0JKP6"
"contig153349","Q5VUM1"
"contig97696","No_Uniprotmatch"
"contig151109","Q96AX9"
"contig600118","Q8TKB7"
"contig217991","P21783"
"contig179610","Q897P8"
"contig70754","No_Uniprotmatch"
"contig150693","P21783"
"contig100110_36597","Q6PDJ1"
"contig80338","Q96AX1"
"contig203815","Q99JL1"
