"modGenes","modUniprotIDs"
"contig77362","Q5BL07"
"contig145126","A1L1W9"
"contig148391","Q24760"
"contig68762","O43246"
"contig150802","C3Y5H9"
"contig145192","Q7Z6G8"
"contig18600_113481_17109_195155_196192_112883","Q9D565"
"contig216700","Q2MCN4"
"contig170871","F2ULT3"
"contig134901","P26686"
"contig208031","No_Uniprotmatch"
"contig204085","P51954"
"contig41524_117999","No_Uniprotmatch"
"contig128240_125614_218748_82794_600211_59467","Q54HW1"
"contig176157","No_Uniprotmatch"
"contig107111_53356","Q6MG48"
"contig144925","Q9C091"
"contig151635","Q7ZXY0"
"contig110861","Q9JK84"
"contig145463","Q04637"
"contig147573","No_Uniprotmatch"
"contig146739","P57787"
"contig124663","No_Uniprotmatch"
"contig80420","Q6GP04"
"contig19773_107689_152258","Q91WF7"
"contig72615","P17336"
"contig56037","Q8C8U0"
"contig147460","Q9QZM5"
"contig93195_68951","P20072"
"contig151080","P52585"
"contig214577_53946_68181_79759","Q9ULJ6"
"contig83267_93484","Q91ZR4"
"contig16420_20902","Q91WC1"
"contig148584","Q640L5"
"contig12306","Q9CWF6"
"contig176373","No_Uniprotmatch"
"contig124509_114284","Q3U9N9"
"contig209827","Q766D5"
"contig600099","O16025"
"contig600152","Q6ZRR9"
"contig57770","Q14DL3"
"contig151970","Q9WV30"
"contig600091","No_Uniprotmatch"
"contig78793","Q6GNL7"
"contig9823_195704_210589","Q3UHX0"
"contig15091_77059_74773_71544_204820_600054","P16157"
"contig47108_120133_216619_111769","Q8BTM8"
"contig154225","C3ZVW4"
"contig189406_93746","Q5SW75"
"contig146901","O15034"
"contig205806_114568","Q5S007"
"contig15653_59975","Q9C0C9"
"contig151708","A8KBF3"
"contig173677","Q96RW7"
"contig79430","No_Uniprotmatch"
"contig209227","Q1RMU5"
"contig180194_98013","No_Uniprotmatch"
"contig147889","Q96RW7"
"contig15632_117793_170020_79720","Q10741"
"contig154113","A0JP86"
"contig116337_184214","No_Uniprotmatch"
"contig66899","Q2EY14"
"contig181512","Q9QXZ0"
"contig78161_168162","C3Z2W6"
"contig127038","Q55E58"
"contig173780","Q9NZJ4"
"contig178257_21668_146877","O08560"
"contig69361_14128","Q27991"
"contig151451","Q9QXZ0"
"contig600075","P21761"
"contig146770","Q8VHE6"
"contig176972","Q7T271"
"contig9228","Q32NH8"
"contig18604_76225","Q8WWQ8"
"contig152165","A2AQW0"
"contig205328_111585_82039","Q61037"
"contig203757","Q96PV6"
"contig168877","Q2HJ46"
"contig73117_21916","Q6GLC9"
"contig210288","Q7RTN6"
"contig175821_185029_70681_82214","Q17Q32"
"contig153688","No_Uniprotmatch"
"contig174741","Q6GQB9"
"contig103314","Q6AX44"
"contig139500_216766_105841_59277_178924","Q6ZU64"
"contig151290","P07207"
"contig219349_64423","Q09811"
"contig71404_111609","P55268"
"contig152266","P25291"
"contig73742","Q8CBY3"
"contig90175","Q9WVM6"
"contig99046_112180_148951_210691","Q96NI8"
"contig98553_55461_17564_146890","A1A5F2"
"contig218297","Q5UAW9"
"contig81057","O75132"
"contig54867","O95477"
"contig103348_204747_205079_169199","Q25BN1"
"contig76703","Q60928"
"contig148920","No_Uniprotmatch"
"contig150078","Q80V86"
"contig93132","No_Uniprotmatch"
"contig185929","Q96DM1"
"contig105563","No_Uniprotmatch"
"contig208019","Q5RJY2"
"contig77014","Q9U943"
"contig69311","Q7TNC4"
"contig144923","Q99996"
"contig99166","P07439"
"contig150607","B0WWP2"
"contig205988","Q7ZVM1"
"contig145103","A3KPW9"
"contig118174_75735_178939_210656","O70405"
"contig114308","Q6ZQ89"
"contig147544","B2J427"
"contig150969","O15027"
"contig193625_111865_178679","A1A4N1"
"contig8636_72006_6237_93214","Q7TQE6"
"contig152193","C3Z1B6"
"contig151546_188572","Q5S007"
"contig145408_123825_204703_151677_205090","F2U0R8"
"contig78666","No_Uniprotmatch"
"contig105292","Q6ZUG5"
"contig192014_80914","Q5BKC9"
"contig187034","Q96AY4"
"contig146118","Q4JIM4"
"contig128253_195782_185208","Q5REB9"
"contig176942_209821","Q7ZVF3"
"contig153340_22603","P49337"
"contig5116_205953_205189_112171_176957","Q9D4H7"
"contig205491","Q9Z2E9"
"contig53229","E5S095"
"contig148150","Q8K450"
"contig94316","Q99JW2"
"contig147329","Q86UW6"
"contig147988","Q5REW0"
"contig72889","Q9Y5B6"
"contig176931","P27139"
"contig103466","Q96DM1"
"contig600112","No_Uniprotmatch"
"contig56299","Q76LL6"
"contig108846","Q9DBT9"
"contig212997_69130","Q8N309"
"contig117347_138609","Q1LZH1"
"contig171184","P20456"
"contig147924","Q96PV6"
"contig146476","No_Uniprotmatch"
"contig171862","No_Uniprotmatch"
"contig178862","Q90WJ8"
"contig148681","No_Uniprotmatch"
"contig209567","A8C9L9"
"contig204814","Q7TN88"
"contig80999_151787","O97394"
"contig139691","Q66H54"
"contig153769","F2Z929"
"contig74358","Q5VXU1"
"contig202040","Q4VA61"
"contig170681","C0HAC0"
"contig600082_176489_204152_108296","Q9NS37"
"contig74167_160319_110985_116057_150040_216583","Q9NZJ4"
"contig180149","Q96PV6"
"contig80642","Q91YJ5"
"contig186444","Q9JLB4"
"contig70624","F1QIZ4"
"contig212728","No_Uniprotmatch"
"contig191607_66444_202286","Q4G0P3"
"contig149483","Q4G0P3"
"contig72112","No_Uniprotmatch"
"contig145531","P49446"
"contig219015_177677","Q5BKQ4"
"contig92874_137600_179266_211107_114485_98372","Q8N957"
"contig149293","P18519"
"contig120096","Q32MH5"
"contig209361","Q96PV6"
"contig114829_170976_600076_145434_138914","Q9Y6X9"
"contig147802","P08640"
"contig204871","No_Uniprotmatch"
"contig18083","Q6GQX6"
"contig79739","Q03164"
"contig147085","Q801S2"
"contig180391","Q5BJL5"
"contig150219","Q8IIG7"
"contig107980","Q2MCN4"
"contig116108","P21761"
"contig202162","Q76LL6"
"contig158928_118673","Q6P158"
"contig208003","Q9BUZ4"
"contig145042","Q14669"
"contig7448","Q86PM4"
"contig146446","P35409"
"contig150736","Q24562"
"contig136561_105308","Q8TDX9"
"contig114151","No_Uniprotmatch"
"contig81541","Q39575"
"contig145843_81827","Q2TBI0"
"contig148322","Q86PM4"
"contig169999","P40879"
"contig171475_150987_110832","Q7Z6G8"
"contig180080","No_Uniprotmatch"
"contig147741_130932_154172","Q02357"
"contig194438","Q9Y2C9"
"contig22756","Q28EW0"
"contig146893_195014","P17714"
"contig146737","Q8BLD6"
"contig175982_174694","O15439"
"contig111895","P52787"
"contig600236","Q35099"
"contig172112_149440","Q32M88"
"contig104676","Q13772"
"contig77173","Q9LV03"
"contig56523","Q4G0P3"
"contig92554","No_Uniprotmatch"
"contig152081","Q9Y5B6"
"contig72843","E5SAC4"
"contig144845","Q5RC80"
"contig152754","Q5VYK3"
"contig139151_147670_184248_181091_94003_106394","P40818"
"contig172031_211977","Q7TN88"
"contig202417","Q9VCU9"
"contig173719","Q96DM1"
"contig68366","P31422"
"contig152199","Q9CR50"
"contig152213","P25291"
"contig96733","P38487"
"contig93464","No_Uniprotmatch"
"contig108191","Q9VSF3"
"contig145313","B1H2N9"
"contig78505","O15050"
"contig153177","F7A6V8"
"contig66170","Q7Z304"
"contig145162","Q8VHR5"
"contig12113","Q8Q0U0"
"contig147676","Q5BJE1"
"contig178775","Q8L840"
"contig73363_56674_39704","Q9P2N4"
"contig150534","Q148A4"
"contig97677","No_Uniprotmatch"
"contig176629","Q96AY4"
"contig212418","Q9WV30"
"contig148654_175830_115564","A3KPW9"
"contig138773_80798","Q96DP5"
"contig209563","P21580"
"contig152631","O35242"
"contig150117","Q1RMU5"
"contig129248_65207","P82094"
"contig209739_211339","O50655"
"contig204291","Q6GLC9"
"contig205156","No_Uniprotmatch"
"contig204365","No_Uniprotmatch"
"contig151849","No_Uniprotmatch"
"contig196363","Q96PQ7"
"contig177150","Q6GNL7"
"contig151835","Q9V0D5"
"contig180875","No_Uniprotmatch"
"contig150482","No_Uniprotmatch"
"contig210054","P18519"
"contig212449_209332","C3YT52"
"contig148067","No_Uniprotmatch"
"contig150345","C3Z268"
"contig210122","Q55E58"
"contig104611","No_Uniprotmatch"
"contig72867","Q4G0P3"
"contig204554","Q7ZVM1"
"contig96890","C3XQL8"
"contig114263","Q08379"
"contig176504","P00921"
"contig177594","Q96DM1"
"contig123882_53124_116486","Q90ZC7"
"contig72998","Q6DDU9"
"contig147381","P21761"
"contig48488_152234_208461_80367_135384_24092_79493","P14543"
"contig152788","P24733"
"contig146310","P25122"
"contig70152","A4IH17"
"contig210193","Q6AY09"
"contig207908","No_Uniprotmatch"
"contig59759","Q8N283"
"contig78323_140600","Q8BX09"
"contig170552","No_Uniprotmatch"
"contig174768","Q4V8C3"
"contig69251","B7G1Z3"
