"modGenes","modUniprotIDs"
"contig216503","P17178"
"contig24954","Q6P7A2"
"contig109034","Q0V9W6"
"contig180701","Q13564"
"contig124019","P12815"
"contig20823","Q96KP1"
"contig105445_106330","Q9NSA2"
"contig207262","No_Uniprotmatch"
"contig105930","E2JEI9"
"contig75135","Q6DCX5"
"contig204576","Q4KM92"
"contig213757","Q9D6J3"
"contig19902_18709","Q5U316"
"contig204480_119757","No_Uniprotmatch"
"contig159909","P35286"
"contig68716","P98088"
"contig2212","Q969X6"
"contig150483","Q6PE01"
"contig118096","No_Uniprotmatch"
"contig152454","No_Uniprotmatch"
"contig175771","No_Uniprotmatch"
"contig175858","Q9NX02"
"contig106503","Q93104"
"contig112423","Q6AXK4"
"contig75348","Q28GF8"
"contig105739","No_Uniprotmatch"
"contig92948","Q01059"
"contig170784","A1L2Q8"
"contig77109","P47736"
"contig111440","C3ZCE0"
"contig98531","P70085"
"contig211038","O35116"
"contig107238_217315","O54783"
"contig16269","No_Uniprotmatch"
"contig210236","C3ZX60"
"contig176114","Q6NV26"
"contig177044","No_Uniprotmatch"
"contig192634","E3BJZ6"
"contig73765","No_Uniprotmatch"
"contig93030","P10978"
"contig107181","Q6P1N0"
"contig116514","Q00537"
"contig178153","No_Uniprotmatch"
"contig99187","No_Uniprotmatch"
"contig213440","Q8BQC3"
"contig180511","No_Uniprotmatch"
"contig203511","No_Uniprotmatch"
"contig151989","Q9JK66"
"contig211783","Q8CCK0"
"contig68273","No_Uniprotmatch"
"contig213600_23689","Q2VPA6"
"contig181086","No_Uniprotmatch"
"contig107880","No_Uniprotmatch"
"contig110667","Q9JJT0"
"contig20786","No_Uniprotmatch"
"contig150576","O60934"
"contig152024","No_Uniprotmatch"
"contig210823","No_Uniprotmatch"
"contig99861","No_Uniprotmatch"
"contig18607","C3XV11"
"contig119374","Q5R9T9"
"contig152399","Q9Y6N1"
"contig213283","Q6NYE7"
"contig177532_107548_131411","Q95266"
"contig149992","Q505F5"
"contig97477","Q8R081"
"contig179089","Q96BD0"
