Dataset S1A. Results for the 484 differentially expressed genes (DEGs) between all control and heated corals regardless of population. FoldChange is calculated as the ratio of Heated/Control expression. Full annotation information can be found in the full supporting annotationfile at http://palumbilab.stanford.edu/data.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Ourcontigname,topnrMatch,topnrEvalue,Uniprotmatch,evalue,Uniprot Description,HGNC_Name,foldChange,p-value,q-value
contig83050,PREDICTED: hypothetical protein [Saccoglossus kowalevskii],5.16E-29,D8TC87,3.00E-21,Putative uncharacterized protein,No_HGNC_match,14.02,1.12E-07,1.75E-05
contig180146_147773,predicted protein [Nematostella vectensis] gi|156228666|gb|EDO49464.1| predicted protein [Nematostella vectensis],5.25E-145,Q60803,2.00E-97,TNF receptor-associated factor 3,No_HGNC_match,12.64,5.54E-21,2.84E-17
contig216267,A007-G11 G-protein coupled receptor [Acropora millepora],5.95E-26,O57422,1.00E-11,Melanopsin-B,No_HGNC_match,11.26,4.09E-07,5.24E-05
contig118470_120199_147241,No_sig_nr_hit,No_sig_nr_hit,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,10.93,1.31E-14,2.69E-11
contig211162,No_sig_nr_hit,No_sig_nr_hit,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,9.53,1.16E-14,2.69E-11
contig181073,predicted protein [Nematostella vectensis] gi|156219918|gb|EDO40793.1| predicted protein [Nematostella vectensis],7.50E-22,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,8.85,1.59E-12,1.64E-09
contig145010,predicted protein [Nematostella vectensis] gi|156225517|gb|EDO46334.1| predicted protein [Nematostella vectensis],1.28E-70,C3ZHP1,2.00E-17,Putative uncharacterized protein,No_HGNC_match,8.84,3.68E-18,1.26E-14
contig189881_190487_185006,predicted protein [Nematostella vectensis] gi|156216544|gb|EDO37478.1| predicted protein [Nematostella vectensis],3.42E-65,Q96PM5,2.00E-29,RING finger and CHY zinc finger domain-containing protein 1,"ring finger and CHY zinc finger domain containing 1, E3 ubiquitin protein ligase",8.56,2.64E-14,4.52E-11
contig185261,predicted protein [Nematostella vectensis] gi|156212501|gb|EDO33558.1| predicted protein [Nematostella vectensis],1.30E-66,Q64581,1.00E-58,Cytochrome P450 3A18,No_HGNC_match,8.44,1.89E-07,2.77E-05
contig184253_153996_125963,predicted protein [Nematostella vectensis] gi|156212501|gb|EDO33558.1| predicted protein [Nematostella vectensis],1.19E-18,P36423,5.00E-16,Thromboxane-A synthase,No_HGNC_match,8.34,9.44E-12,6.46E-09
contig152180,predicted protein [Nematostella vectensis] gi|156216544|gb|EDO37478.1| predicted protein [Nematostella vectensis],6.31E-70,Q96PM5,8.00E-34,RING finger and CHY zinc finger domain-containing protein 1,"ring finger and CHY zinc finger domain containing 1, E3 ubiquitin protein ligase",8.04,3.01E-09,8.60E-07
contig152098,PREDICTED: similar to CREB-binding protein [Hydra magnipapillata],5.80E-09,B2RWS6,2.00E-07,Histone acetyltransferase p300,No_HGNC_match,7.99,1.42E-06,1.47E-04
contig149293,predicted protein [Nematostella vectensis] gi|156211739|gb|EDO32832.1| predicted protein [Nematostella vectensis],6.89E-07,P18519,7.00E-06,Tumor necrosis factor receptor superfamily member 16,No_HGNC_match,7.59,8.97E-09,2.09E-06
contig205729_117447,No_sig_nr_hit,No_sig_nr_hit,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,7.56,9.88E-10,3.07E-07
contig26421_97721,No_sig_nr_hit,No_sig_nr_hit,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,7.43,3.99E-07,5.23E-05
contig148902,predicted protein [Nematostella vectensis] gi|156219623|gb|EDO40502.1| predicted protein [Nematostella vectensis],3.01E-12,F7D7R4,8.00E-05,Uncharacterized protein,No_HGNC_match,7.42,4.67E-14,6.85E-11
contig80872,No_sig_nr_hit,No_sig_nr_hit,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,6.92,1.87E-08,3.83E-06
contig153512,predicted protein [Nematostella vectensis] gi|156215773|gb|EDO36725.1| predicted protein [Nematostella vectensis],3.82E-13,Q0V9K1,4.00E-12,Transcription factor Maf,No_HGNC_match,6.76,1.76E-12,1.64E-09
contig152108,No_sig_nr_hit,No_sig_nr_hit,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,6.74,2.82E-12,2.41E-09
contig153057_113775,predicted protein [Nematostella vectensis] gi|156212887|gb|EDO33927.1| predicted protein [Nematostella vectensis],1.26E-56,Q1WK23,2.00E-34,Serine protease 23,No_HGNC_match,6.60,3.01E-10,1.19E-07
contig172664_169314,predicted protein [Nematostella vectensis] gi|156220908|gb|EDO41770.1| predicted protein [Nematostella vectensis],4.92E-78,P50169,3.00E-57,Retinol dehydrogenase 3,No_HGNC_match,6.36,1.08E-09,3.26E-07
contig214192,predicted protein [Nematostella vectensis] gi|156229227|gb|EDO50023.1| predicted protein [Nematostella vectensis],2.29E-13,Q0GBZ5,1.00E-10,Orexin receptor type 1,No_HGNC_match,6.29,8.96E-08,1.48E-05
contig170277_177948,predicted protein [Nematostella vectensis] gi|156225742|gb|EDO46557.1| predicted protein [Nematostella vectensis],8.77E-21,Q9DEQ4,2.00E-19,Secreted frizzled-related protein 1,No_HGNC_match,6.28,5.04E-11,2.47E-08
contig153533,PREDICTED: hypothetical protein [Strongylocentrotus purpuratus] gi|115929528|ref|XP_001196362.1| PREDICTED: hypothetical protein [Strongylocentrotus purpuratus],6.85E-27,Q9NBX4,8.00E-08,Probable RNA-directed DNA polymerase from transposon X-element,No_HGNC_match,6.27,7.11E-07,8.39E-05
contig105645,predicted protein [Nematostella vectensis] gi|156220764|gb|EDO41628.1| predicted protein [Nematostella vectensis],4.63E-27,Q9VVY3,2.00E-20,CBM21 domain-containing protein CG9619,No_HGNC_match,6.16,1.51E-07,2.32E-05
