"modGenes","modUniprotIDs"
"contig69606_213359_112224","Q9U5N0"
"contig151694","P43234"
"contig104048","P67985"
"contig99649","P79398"
"contig74425","P52827"
"contig140556","Q63ZJ2"
"contig91243","No_Uniprotmatch"
"contig110798","Q28CJ6"
"contig79793","Q7ZVZ7"
"contig104415","Q14789"
"contig173842","P34299"
"contig72368_136779_111930","Q6IRM9"
"contig108686","Q8R431"
"contig4771","Q5TBA9"
"contig212427_158244_79274","Q8VCM5"
"contig181294_176470","Q05975"
"contig171728_156942_119132_211762_194273_193854","Q8TCQ1"
"contig180467","No_Uniprotmatch"
"contig83096","Q6DID3"
"contig143462","P21783"
"contig147633","No_Uniprotmatch"
"contig169649","No_Uniprotmatch"
"contig205163","Q5ZJ85"
"contig150156","No_Uniprotmatch"
"contig94053_219273_23600","Q96JK9"
"contig204880","P07861"
"contig59222","Q99102"
"contig109368","Q9QXV3"
"contig81797","No_Uniprotmatch"
"contig151190","P54357"
"contig209765_111897","P16273"
"contig170989_158876","Q14135"
"contig72516","Q0IHV1"
"contig116401","P79114"
"contig69897_179628_114571_192796","Q53HC0"
"contig12801","No_Uniprotmatch"
"contig147410_177738_212403","No_Uniprotmatch"
"contig157397","Q04336"
"contig149364","No_Uniprotmatch"
"contig174394","No_Uniprotmatch"
"contig211412","Q4FZX7"
"contig188721","Q92804"
"contig179063","Q7PIR5"
"contig96418","P70011"
"contig178480_182806","Q9JM76"
"contig171676","Q6P6X9"
"contig76465","C3YN36"
"contig171983","F6RBI8"
"contig98775_203871","Q5BL41"
"contig176068","No_Uniprotmatch"
"contig150483","Q6PE01"
"contig118096","No_Uniprotmatch"
"contig105244","No_Uniprotmatch"
"contig71936","No_Uniprotmatch"
"contig117837","Q6GP89"
"contig137461","Q9UPN3"
"contig170138_154784","No_Uniprotmatch"
"contig128601","Q20591"
"contig112263_137966","Q9Y5X4"
"contig209200","P61359"
"contig111642","Q5ZJH7"
"contig149338_112692","Q28BZ2"
"contig106326","Q9U9K0"
"contig13014","B4JWR9"
"contig107200","Q8I7Z2"
"contig176818","Q9BQE4"
"contig152029","Q9H720"
"contig181598","C3YWU0"
"contig76512","Q6PDL0"
"contig154187","Q27245"
"contig112795","Q6DIP3"
"contig105763_213652","Q13217"
"contig110423_139014_177217_176423","Q8VHT6"
"contig74411","Q8BVF7"
"contig60037","No_Uniprotmatch"
"contig113194","A5D7P8"
"contig119391","No_Uniprotmatch"
"contig205128_170264","O95433"
"contig116142","B0ZZ78"
"contig178311","C3ZUM2"
"contig210141","P61210"
"contig105625_140650","Q0MQA3"
"contig176835","No_Uniprotmatch"
"contig105760","Q9NFZ4"
"contig107101","O70591"
"contig106027","Q5R592"
"contig107265","P08553"
"contig160629","Q5R4K9"
"contig170644","Q9CQY2"
"contig77990","P11680"
"contig59292","O95149"
"contig180867","No_Uniprotmatch"
"contig209308_80180","Q8VCD6"
"contig211187","Q0GNE0"
"contig99221","Q10741"
"contig75044","No_Uniprotmatch"
"contig110005","No_Uniprotmatch"
"contig175845","P17508"
"contig163807","O93429"
"contig21929","P38861"
"contig210955","No_Uniprotmatch"
"contig600137","B2A606"
"contig185665","No_Uniprotmatch"
"contig153757","No_Uniprotmatch"
"contig148577","P07514"
"contig179360","Q5E9Q4"
"contig178429","P70011"
"contig116341","B3S425"
"contig19601","Q9SIQ9"
"contig165416","No_Uniprotmatch"
"contig212180","Q91X17"
"contig77932","Q5ZL12"
"contig110978","Q4KLL0"
"contig152410","Q9BXS5"
"contig118686","No_Uniprotmatch"
"contig113755","No_Uniprotmatch"
"contig169626","No_Uniprotmatch"
