"modGenes","modUniprotIDs"
"contig155851_69784_130543_130414","Q8R3Y8"
"contig8613_14190_58643","Q9WV04"
"contig113407","Q3U481"
"contig216909_66788","E0VY28"
"contig71923","Q04589"
"contig142959","Q766D5"
"contig7913","Q5F201"
"contig74463","No_Uniprotmatch"
"contig81515","Q5XI41"
"contig3753_6447","Q03146"
"contig130636","P50580"
"contig107679","No_Uniprotmatch"
"contig72516","Q0IHV1"
"contig166881","No_Uniprotmatch"
"contig182896","A4IGL7"
"contig156387","No_Uniprotmatch"
"contig148638","O94885"
"contig76370","P35918"
"contig214192","Q0GBZ5"
"contig72658","Q91641"
"contig212770","No_Uniprotmatch"
"contig178720_177820","Q7ZUW2"
"contig112014","Q23023"
"contig205037","P41216"
"contig47379_80706","No_Uniprotmatch"
"contig169440","Q5NVI9"
"contig187072","Q96I25"
"contig170138_154784","No_Uniprotmatch"
"contig170438","Q10341"
"contig152030","P49760"
"contig80956_106331_14555_97402_212104","Q9D4H7"
"contig192271_81701","Q3V6T2"
"contig176030","Q9GYZ0"
"contig193598_24299","P47751"
"contig148710","Q6GLR6"
"contig170162","P16423"
"contig181297_209247","Q5RAG8"
"contig114428","Q9CZV5"
"contig140368","Q3V3R4"
"contig203886","Q2NL26"
"contig152086_121449","Q9WTP3"
"contig209919","P21849"
"contig8099","P41970"
"contig77727","Q8IZP9"
"contig82908","Q61532"
"contig19196_74211_158296","Q2VJ60"
"contig211276","Q8IXL7"
"contig76745","Q86U38"
"contig150618","Q90478"
"contig113966","B3S768"
"contig207933","Q29RQ1"
"contig98003_119563","Q80U96"
"contig150436","Q5RJH6"
"contig170526","E9PUL6"
"contig183086","Q6ICH7"
"contig204658_214800","Q67FQ3"
"contig153577","No_Uniprotmatch"
"contig106554","Q5RF87"
"contig204162","P22757"
"contig180868","P39572"
"contig148072","No_Uniprotmatch"
"contig147419","O89001"
"contig175781","P14740"
"contig74575","No_Uniprotmatch"
"contig145147","P13395"
"contig7028","Q5SS90"
"contig205460","Q3V0J4"
"contig175943","Q9DBF7"
"contig159516","No_Uniprotmatch"
"contig171373_196470","P07911"
"contig149382_109340","Q86XH1"
"contig180054","Q2NL26"
"contig145325_156161","Q9CUL5"
"contig203954","Q91827"
"contig75713_132719_110407","Q9Y297"
"contig189685","Q8BH97"
"contig60318_211330","Q6NUT3"
"contig147370","Q4V817"
"contig176174","P49596"
"contig150605","Q8IWV8"
"contig104364","Q20191"
"contig71140","Q8IUN9"
"contig82235","A4Q9F0"
"contig176668","O62839"
"contig76783_77612_106844_216081_195491_79244","Q8IUR6"
"contig151357","Q5ZLS3"
"contig171538_80138_140469","Q14527"
"contig65926","Q6ZUG5"
"contig214063","C3ZVW4"
"contig19832","P52962"
"contig154745","Q98TZ8"
"contig181886","No_Uniprotmatch"
"contig124910","Q13585"
"contig206001","A6NIX2"
"contig148540","Q8BSD5"
"contig219565","No_Uniprotmatch"
"contig20409","Q7PIR5"
"contig170739_20064_56949_9660","Q6RI86"
"contig209833","O73698"
"contig147727","Q9WV89"
"contig150770_600138","Q9JLC6"
"contig204221_175631","P05689"
"contig107393","No_Uniprotmatch"
"contig203971_147441_211386_176132","Q17770"
"contig192444","Q5T0D9"
"contig215806","Q7T2Z5"
"contig169624_182639","Q7ZU45"
"contig101711","A4IGL7"
"contig23833","P42583"
"contig167279","Q8VIG3"
"contig82457","Q5XHX8"
"contig73311","P29374"
"contig48502","P25931"
"contig83316_14213_36785","No_Uniprotmatch"
"contig75270_68656","Q9P785"
"contig115904_129983","Q8WWQ8"
"contig78313","No_Uniprotmatch"
"contig188524_70071","No_Uniprotmatch"
"contig77601_207123","Q95218"
"contig148783","Q9UNE7"
"contig16340_137404_71412_180832_151959","O43581"
"contig150131","O58320"
"contig116763_157070_112659_181874","Q03555"
"contig78968","Q9BPW9"
"contig152191","P22758"
"contig170248","No_Uniprotmatch"
"contig21150","Q3SWY2"
"contig159783_180414","P10394"
"contig97440","Q9WTW8"
"contig109642","P37709"
"contig150424","Q9U3S9"
"contig170944_169593","Q9DAW6"
"contig70798","No_Uniprotmatch"
"contig174689","P55013"
"contig110408","P53007"
"contig99752","O14514"
"contig152289_204121","Q8N6T3"
"contig117735_156558","Q28CJ6"
"contig185477","C3ZVW4"
"contig160842_69687","No_Uniprotmatch"
"contig147134","Q5ZMQ9"
"contig212854_119768","No_Uniprotmatch"
"contig112833","P35525"
"contig157640_105144_202310_160404","P48417"
"contig147112","Q86PM4"
"contig112413","No_Uniprotmatch"
"contig105786","Q9D8V0"
"contig145455","Q9GLK0"
"contig151784","Q9P2N4"
"contig75934","Q6P618"
"contig97158_210926_116373","No_Uniprotmatch"
"contig146870","No_Uniprotmatch"
"contig104480","Q9H4G4"
"contig184403","A4K2M5"
"contig100105","Q9Y4R7"
"contig191461_178066","Q7NBW0"
"contig111726_150318","Q4VCS5"
"contig600203","Q9WV92"
"contig171576","Q9NWH7"
"contig169244","P10477"
"contig208005","Q2Y0W8"
"contig60605","P97677"
"contig214982","No_Uniprotmatch"
"contig80389","No_Uniprotmatch"
"contig137991","Q8VDZ4"
"contig187659_165774","Q86Y13"
"contig77058","Q62083"
"contig79914","Q0KIA2"
"contig172087","P0C2X9"
"contig178451","P21758"
"contig116798","Q5SW75"
