"ContigName","Uniprotmatch"
"adi_v1.09711","Q5R9H4"
"contig17577","No_Uniprotmatch"
"contig23696","No_Uniprotmatch"
"contig25717","P46023"
"adi_v1.18751","P07793"
"contig49218","No_Uniprotmatch"
"adi_v1.11281","P22793"
"adi_v1.23586","Q09575"
"contig59759","Q8N283"
"contig60060","Q58NQ4"
"contig60280","A6H584"
"adi_v1.10764","Q9UM47"
"contig67926","C3ZUM2"
"contig69377","No_Uniprotmatch"
"adi_v1.14111","O43663"
"adi_v1.01418","P41180"
"contig74440","O60290"
"adi_v1.14536","P10978"
"adi_v1.13670","Q38913"
"adi_v1.12346","Q17GZ9"
"adi_v1.16120","F6TYQ6"
"contig77760","No_Uniprotmatch"
"adi_v1.18225","Q9ER63"
"contig78273","P21329"
"contig78879","Q9DBI0"
"contig78905","No_Uniprotmatch"
"contig79266","Q9NBX4"
"MGE-B028-G3-prawn22-T3.ab1","Q922M5"
"adi_v1.15226","Q2EMV9"
"contig81990","P10978"
"GCKDGN102DY2MX","F1Q806"
"contig83656","Q09575"
"contig86056","No_Uniprotmatch"
"adi_v1.15553","Q9NYQ6"
"adi_v1.14536","P10978"
"contig93780","No_Uniprotmatch"
"contig96465","Q58A42"
"adi_v1.19136","Q04336"
"adi_v1.05745","B0ZZ78"
"contig104128","P56819"
"contig105247","No_Uniprotmatch"
"contig105540","No_Uniprotmatch"
"contig106831","No_Uniprotmatch"
"contig107567","P04323"
"adi_v1.24725","C3ZUM2"
"contig109567","Q0P5F9"
"contig110710","No_Uniprotmatch"
"adi_v1.06900","Q5ZJH7"
"isotig09684","Q92626"
"contig114078","No_Uniprotmatch"
"contig114781","No_Uniprotmatch"
"contig115219","Q91819"
"contig116341","B3S425"
"isotig04017","Q20191"
"adi_v1.18629","B3RL60"
"adi_v1.14210","Q9D4P0"
"contig120173","Q80TR8"
"adi_v1.18263","O74549"
"contig122417","No_Uniprotmatch"
"adi_v1.05103","P15206"
"adi_v1.15531","B3RL60"
"adi_v1.07571","P21783"
"contig145730","Q54G05"
"contig145802","Q5XGM3"
"adi_v1.12323","F5UE29"
"adi_v1.01418","P41180"
"contig147022","O00468"
"adi_v1.07426","Q86VS8"
"adi_v1.09711","Q5R9H4"
"contig147430","No_Uniprotmatch"
"contig147502","Q9I9M5"
"adi_v1.19226","Q9VCU9"
"contig147589","P50470"
"adi_v1.00745","Q01033"
"contig147916","Q071E0"
"contig148039","C3ZK69"
"contig148132","Q9BYW2"
"contig148467","Q08CS6"
"contig148582","A5D8R3"
"contig148791","No_Uniprotmatch"
"contig148967","Q9NBX4"
"adi_v1.07080","Q9WV30"
"contig149605","Q96DM1"
"adi_v1.18867","C3YKB5"
"contig150424","Q9U3S9"
"contig151019","C3YW70"
"adi_v1.11979","Q6INU7"
"contig151059","Q09575"
"contig151077","Q01DA2"
"adi_v1.06208","P46864"
"adi_v1.19668","E5SYI1"
"E60BDOM02HE3RI","D7GYB7"
"contig153757","No_Uniprotmatch"
"adi_v1.04186","Q9UGM3"
"isotig07143","P48509"
"contig155603","No_Uniprotmatch"
"adi_v1.15424","P34696"
"adi_v1.13878","Q6DIC0"
"contig157172","No_Uniprotmatch"
"adi_v1.18712","Q90YV7"
"contig159958","No_Uniprotmatch"
"adi_v1.18225","Q9ER63"
"adi_v1.15424","P34696"
"contig168697","P52046"
"contig168753","No_Uniprotmatch"
"contig169215","Q28092"
"contig169289","No_Uniprotmatch"
"adi_v1.03049","Q6JHU9"
"adi_v1.12365","F2CCN6"
"contig171114","Q6P132"
"contig171284","A1L2P5"
"contig171860","P26932"
"contig173776","No_Uniprotmatch"
"contig173815","Q9P2E3"
"adi_v1.19577","Q0V8S9"
"isotig02744","Q6ITB9"
"contig175607","A6NC86"
"isotig12069","P83941"
"adi_v1.16355","P00920"
"isotig08017","Q925G0"
"adi_v1.02746","Q9IBG7"
"adi_v1.07284","B3RL60"
"isotig10016","E9HRT7"
"adi_v1.15424","P34696"
"isotig00844","P54611"
"contig179182","No_Uniprotmatch"
"adi_v1.05880","P81274"
"contig180511","No_Uniprotmatch"
"adi_v1.21739","Q7Z494"
"adi_v1.05945","Q96RW7"
"contig181903","No_Uniprotmatch"
"adi_v1.10660","B3RL60"
"contig182385","No_Uniprotmatch"
"adi_v1.13535","Q7RTR2"
"adi_v1.18053","P70196"
"adi_v1.20487","Q86HG9"
"contig184740","No_Uniprotmatch"
"E60BDOM02IDQN5","E2AVM3"
"contig186111","No_Uniprotmatch"
"adi_v1.00131","Q96AY4"
"adi_v1.13315","A7X4K1"
"contig187597","No_Uniprotmatch"
"adi_v1.10868","P06734"
"contig188499","No_Uniprotmatch"
"contig188920","No_Uniprotmatch"
"adi_v1.18053","P70196"
"contig191672","No_Uniprotmatch"
"adi_v1.18053","P70196"
"contig202510","No_Uniprotmatch"
"contig202558","P13497"
"mge-C013-F5-pre37_T3.seq","Q9H4G4"
"contig204661","P14381"
"adi_v1.18558","P05099"
"isotig12216","Q9CXV1"
"adi_v1.12005","P63696"
"contig206765","No_Uniprotmatch"
"contig209053","P00920"
"contig209516","No_Uniprotmatch"
