"modGenes","modUniprotIDs"
"contig180829","C3YYQ3"
"contig177595","P61751"
"contig600084","Q9CXI3"
"contig148609","Q5XGU5"
"contig179682","Q7Z1B8"
"contig204231","P23514"
"contig147171","Q9QZE5"
"contig213071","No_Uniprotmatch"
"contig104378","B2GUV7"
"contig211883","P53619"
"contig76143","Q3B7T1"
"contig147535","Q8CCF0"
"contig169687","Q5RB02"
"contig202247_167291","O35142"
"contig23241_41075","P18321"
"contig70136","Q14005"
"contig205725","Q155U0"
"contig209117","E2BDT2"
"contig211678","No_Uniprotmatch"
"contig204685","Q91XE9"
"contig154286_151134","Q5ZIK9"
"contig153687","No_Uniprotmatch"
"contig178497","No_Uniprotmatch"
"contig115529","O15027"
"contig204545","Q4R6X7"
"contig169372","P16580"
"contig191349","No_Uniprotmatch"
"contig164798","No_Uniprotmatch"
"contig150438","Q9UBS9"
"contig146952","B3S3S3"
"contig182876_207885","Q3TCT4"
"contig126319_177788_179709_210400","Q99JX3"
"contig171760","No_Uniprotmatch"
"contig142554","C3YZY4"
"contig19671_213981","C3ZUP4"
"contig103348_204747_205079_169199","Q25BN1"
"contig214024_212713","P41541"
"contig67809","O94762"
"contig175681","B3S3S3"
"contig213208_171065_16923","Q969X6"
"contig151831","O95486"
"contig114610","P86179"
"contig108393","No_Uniprotmatch"
"contig71337_210475","Q9DBY1"
"contig146395","Q5DHB7"
"contig209172","P50580"
"contig78521","A2CI35"
"contig179133","P17948"
"contig184203","Q86HG9"
"contig97941","Q6TMK8"
"contig68978_113200","Q9LMG7"
"contig149909","Q3U2P1"
"contig204661","P14381"
"contig212015","Q8NEZ2"
"contig147210","O60303"
"contig74709_19182","Q4VSN1"
"contig9241_83327","Q9WVB1"
"contig177967","Q2KHU8"
"contig105537","Q9NQW1"
"contig118702","Q8IZQ5"
"contig170786","Q01728"
"contig103466","Q96DM1"
"contig22829","P21802"
"contig147735","P07099"
"contig72811_210974","Q0VFM0"
"contig115095","Q8IWY4"
"contig133415_178593","Q12933"
"contig139533_150484_109431","Q9NZJ4"
"contig177091","Q9UMZ3"
"contig179013","P62309"
"contig184633","No_Uniprotmatch"
"contig97877","Q3UPL0"
"contig80388","P62255"
"contig170110","P53992"
"contig216926","No_Uniprotmatch"
"contig76482","Q6GM78"
"contig177649","Q96DM1"
"contig71461","O55227"
"contig108447","P54001"
"contig150774_205528","O35587"
"contig72665","Q63524"
"contig105079","A0JP85"
"contig179059_138477","P19618"
"contig108484","P35280"
"contig104447","Q5ZID0"
"contig77372","P20072"
"contig184201_213728","Q8NEZ2"
"contig215008","Q9CXI3"
"contig154416","Q9Y6L7"
"contig211154","Q96DM1"
"contig210103","Q8VI75"
"contig182173","No_Uniprotmatch"
"contig68818","Q3UPL0"
"contig148823","Q9LQV2"
"contig78583","Q8BP40"
"contig175762","Q9CXI3"
"contig210252_157868","Q3U2P1"
"contig213424_172005","Q9Y5U9"
"contig179009_104779","Q10471"
"contig150307","Q5ZJ85"
"contig104255_74669_147417","Q761V0"
"contig76115","Q9UBS9"
"contig82005","Q5ZKG8"
"contig107174_178201","Q9Z2F6"
"contig179632","O89026"
"contig176262","Q3MHV9"
"contig172179","Q80U30"
"contig60298","Q7M3E1"
"contig159790_189041_217306","Q13114"
"contig155278","Q9QXK3"
"contig146154","B5X4E0"
"contig209795","P18503"
"contig126513","Q68F72"
"contig74896_177467","Q10411"
"contig109547","Q13114"
"contig147538","C3Y755"
"contig22394_152077","Q61035"
"contig109190","Q68EL3"
"contig178229_209531","Q3T0K1"
"contig186359_218979_186465","Q96I24"
"contig205217","P55210"
"contig178004","Q8TEA7"
"contig73532","F6YJX3"
"contig78226","Q3UPL0"
"contig152438","Q9Y227"
"contig23351","A8SMG2"
"contig215774","No_Uniprotmatch"
"contig79207_198817_113865_218718_206009_77860_99443_72959","Q15643"
"contig77513","Q7LL04"
"contig175558","Q9DAJ5"
"contig152912_71191","Q9XF61"
"contig169598","Q62785"
"contig117838","No_Uniprotmatch"
"contig150038","Q6DRI1"
"contig204489","Q3U2P1"
"contig136514","No_Uniprotmatch"
"contig150938","No_Uniprotmatch"
"contig74668_212520","Q9CXI3"
"contig180076","P50580"
"contig108016","Q5ZID0"
"contig73614_600078_190868","Q60803"
"contig93500","No_Uniprotmatch"
"contig158983","A5PMX1"
