"modGenes","modUniprotIDs"
"contig139441","P52787"
"contig98617_152207","Q7Z407"
"contig179558","Q9HCN4"
"contig207946","Q8IUS5"
"contig170486","B3S6K9"
"contig107272","Q924T7"
"contig151651_13490_8769_157582","Q9JKC9"
"contig151978","Q08C53"
"contig146270","Q9VKJ9"
"contig152091","A2RV61"
"contig150750_170008","Q9BVJ6"
"contig169275","Q6P1G2"
"contig112690_156527","Q86PM4"
"contig77708_112444_55263_21064","Q99KY4"
"contig166442","F6T774"
"contig146937","Q15075"
"contig156345","O88794"
"contig70368","Q6ZQ58"
"contig213132","Q5PQX1"
"contig110290","Q9UHD2"
"contig180829","C3YYQ3"
"contig108924","No_Uniprotmatch"
"contig171476","Q6PBU5"
"contig149910","Q9BY19"
"contig147292","Q7JQD3"
"contig151694","P43234"
"contig77289","Q8VE97"
"contig76668","Q80YV3"
"contig118374","Q59J78"
"contig145257","Q96RW7"
"contig74425","P52827"
"contig140556","Q63ZJ2"
"contig91243","No_Uniprotmatch"
"contig208073","No_Uniprotmatch"
"contig71559","Q5M9F8"
"contig175867","Q13326"
"contig77362","Q5BL07"
"contig181061","Q16959"
"contig113407","Q3U481"
"contig79793","Q7ZVZ7"
"contig178516","No_Uniprotmatch"
"contig73584","Q8BMP6"
"contig176385","Q61151"
"contig79655","Q5R687"
"contig216909_66788","E0VY28"
"contig173599","Q6RI86"
"contig169347","O43670"
"contig151430","Q0VC21"
"contig104415","Q14789"
"contig69490","Q29RU2"
"contig70731","P34897"
"contig106118","Q32LE3"
"contig147326","Q8CDP0"
"contig104551","F6SAE9"
"contig74293","O75095"
"contig196350","P03697"
"contig24954","Q6P7A2"
"contig106735","Q5ZJL4"
"contig109347","P97603"
"contig96500","Q5M7K3"
"contig79864_148237","Q5U247"
"contig600006_97276","Q0CP28"
"contig154184","A6QR11"
"contig119060","Q63159"
"contig98826","Q99PK0"
"contig149033","Q5R826"
"contig69765","No_Uniprotmatch"
"contig70295","Q96QG7"
"contig205376","Q8TBM7"
"contig52027","P0C7T5"
"contig180467","No_Uniprotmatch"
"contig176860","Q5NVL7"
"contig152344","Q5XGI0"
"contig147633","No_Uniprotmatch"
"contig151104_213110_161072","Q32PX7"
"contig170003","Q99P25"
"contig59897","Q96QG7"
"contig80984_4320","F6REZ6"
"contig71923","Q04589"
"contig205163","Q5ZJ85"
"contig147763","No_Uniprotmatch"
"contig79161","C3ZT35"
"contig192684_153230","Q7TN22"
"contig73210","No_Uniprotmatch"
"contig147472","P16276"
"contig204636_158373_97058","Q00651"
"contig161025","Q9D1Q4"
"contig153262","Q9X248"
"contig13414_151901","Q9Y2D4"
"contig168672","Q9UIF8"
"contig8307_4761_26724","Q7ZVE6"
"contig111683","O15013"
"contig19589","Q1XA76"
"contig204880","P07861"
"contig142959","Q766D5"
"contig96753","C3XZ74"
"contig9202","Q9NQT8"
"contig7913","Q5F201"
"contig157007","O42412"
"contig147049","No_Uniprotmatch"
"contig138918","Q920Q4"
"contig208214","No_Uniprotmatch"
"contig15196","Q14376"
"contig98204","P97953"
"contig74067","Q6GLT8"
"contig177558","Q5R4J9"
"contig151190","P54357"
"contig3753_6447","Q03146"
"contig99689_83153","Q9EQU5"
"contig205996","Q5P9E0"
"contig105949","Q9UBG0"
"contig189472","D4QD85"
"contig203401","Q8CGS4"
"contig149889","Q5REX3"
"contig160028_176242","Q66L51"
"contig138068_105798_165792","F3L3U9"
"contig207852","Q05017"
"contig209638","P47791"
"contig177764","Q9WTK2"
"contig111213","Q9NVP1"
"contig55928_109216","Q20191"
"contig18600_113481_17109_195155_196192_112883","Q9D565"
"contig72516","Q0IHV1"
"contig170222_140059_115461","Q5ZIG3"
"contig74301","No_Uniprotmatch"
"contig191926","Q9VBW3"
"contig187181","P04186"
"contig106108_120302","A6H8Y1"
"contig13549","No_Uniprotmatch"
"contig110030","Q9DCK3"
"contig176655","Q9FR44"
"contig182896","A4IGL7"
"contig108850_112155_119823","No_Uniprotmatch"
"contig207262","No_Uniprotmatch"
"contig104299_209878_600192","Q7KZN9"
"contig153457","Q641X6"
"contig218729_76429_205346_93857","O00410"
"contig22498_15403","Q86WA9"
"contig141829","C3Y3Y7"
"contig147410_177738_212403","No_Uniprotmatch"
"contig210702","P51112"
"contig107875","P0C1J8"
"contig211391_169204","O57656"
"contig76592","Q8AY73"
"contig175936","Q9JJN0"
"contig149767","Q8BGI4"
"contig70036_162158","D1P8R7"
"contig14609","Q5PQN7"
