"modGenes","modUniprotIDs"
"contig98617_152207","Q7Z407"
"contig175867","Q13326"
"contig178516","No_Uniprotmatch"
"contig185034","No_Uniprotmatch"
"contig147472","P16276"
"contig188706","No_Uniprotmatch"
"contig98204","P97953"
"contig203401","Q8CGS4"
"contig207852","Q05017"
"contig104299_209878_600192","Q7KZN9"
"contig181508","Q8N7B1"
"contig74330","No_Uniprotmatch"
"contig152454","No_Uniprotmatch"
"contig600206","Q8BHI9"
"contig107400","Q3T052"
"contig171661","O14880"
"contig70392","P0CB97"
"contig151440","B1WC40"
"contig153365","No_Uniprotmatch"
"contig59932","E9HDA4"
"contig182186","Q13332"
"contig205319_155331","No_Uniprotmatch"
"contig78964_157228_81291","Q6PZ02"
"contig148710","Q6GLR6"
"contig79967","Q32P28"
"contig179488","Q9Y5Z4"
"contig77599","Q5U2W9"
"contig150743","P35487"
"contig176349","A4IHD2"
"contig80197","Q9D554"
"contig160146_209213","Q8N8K9"
"contig23214_71374","Q86X60"
"contig176956","Q6NTW1"
"contig74144","Q5XII8"
"contig76995","No_Uniprotmatch"
"contig205403","Q6PCQ0"
"contig160348","P20825"
"contig211276","Q8IXL7"
"contig56835","A9LMC0"
"contig185021_212691","P36044"
"contig189566_170361","Q96DX5"
"contig216695","P35446"
"contig130538_113536","Q13163"
"contig215136_126549_84767","No_Uniprotmatch"
"contig148924_217550","No_Uniprotmatch"
"contig170478","Q7DFU6"
"contig68452_108879_78742","Q5R4M8"
"contig217171","Q6DJG6"
"contig82250","Q0VD23"
"contig171046","Q52NJ2"
"contig207860","C3YTZ4"
"contig76178_181139_72317","Q9UMS4"
"contig212400_25978","E4XGR1"
"contig107121_107282_107455_179053","Q0VD51"
"contig108869_158600","A8E7I5"
"contig150308","C3Z6A1"
"contig14113_22384","Q03601"
"contig77038_106937","Q8BGQ7"
"contig192634","E3BJZ6"
"contig158952","P20171"
"contig109250_153681_218666","B1VEI4"
"contig108721","No_Uniprotmatch"
"contig129999_111248","Q9CPX6"
"contig145729","Q8NBX0"
"contig149616_148167","Q7Q2B7"
"contig70270_182488","Q7SYJ9"
"contig75945","Q8IS44"
"contig170536","No_Uniprotmatch"
"contig107129_171376_80582","No_Uniprotmatch"
"contig105957","C3YWU0"
"contig97_110748","B3RMI9"
"contig213114","Q7M767"
"contig147990","Q6AYB3"
"contig122417","No_Uniprotmatch"
"contig71009","No_Uniprotmatch"
"contig71620","P58200"
"contig185988_153892_93959","Q61655"
"contig170888","P97784"
"contig148474","O54888"
"contig71028","No_Uniprotmatch"
"contig69733","Q9UBH6"
"contig153487","No_Uniprotmatch"
"contig190638","No_Uniprotmatch"
"contig82045","F1Q806"
"contig170105","Q8VC31"
"contig180066","No_Uniprotmatch"
"contig211783","Q8CCK0"
"contig161166_189429","Q00277"
"contig112780","Q14789"
"contig181086","No_Uniprotmatch"
"contig178881","Q9GZT9"
"contig71869","P50398"
"contig181475_70120","O67453"
"contig193051","P05300"
"contig203542","Q8JI14"
"contig176944_189220","Q99ND9"
"contig109012","P24539"
"contig177941","No_Uniprotmatch"
"contig146820","P09090"
"contig148918","Q9HCB6"
"contig189593","Q16P20"
"contig181318","A2BGU9"
"contig111725_108606","D3ZVP7"
"contig108989","No_Uniprotmatch"
"contig176341","B5X187"
"contig69881","Q99NF1"
"contig210015","Q9MYP6"
"contig174726_181029","D2UZM7"
"contig4876","Q0VA06"
"contig73952_97142","Q5R5I4"
"contig156795","Q2HJ23"
"contig104085","Q9VP61"
"contig147696","No_Uniprotmatch"
"contig150888_151489","No_Uniprotmatch"
"contig12664_14891","Q9LUE3"
"contig211108","Q3V3R4"
"contig204476","Q91Z92"
"contig105203","Q0VD23"
"contig98445","No_Uniprotmatch"
"contig82383_171959","Q92616"
"contig151747","P08138"
"contig56391","C3ZGC7"
"contig155941","Q9D883"
"contig115219","Q91819"
"contig158914_179997","P25324"
"contig218369","No_Uniprotmatch"
"contig176969","No_Uniprotmatch"
"contig71403_175738","Q6P825"
"contig169402","No_Uniprotmatch"
"contig52289","P63696"
"contig186643_78284","P49754"
"contig210247","No_Uniprotmatch"
"contig72005","O60551"
"contig174560","O55005"
"contig169560","O22943"
"contig169208_209432","P00125"
"contig600029","No_Uniprotmatch"
"contig109727","Q66IM5"
"contig204346","Q6ZQ58"
"contig78766","Q9JLA3"
"contig175910","Q32PD8"
"contig218250_14451","Q1L8Y6"
"contig204726","No_Uniprotmatch"
