"modGenes","modUniprotIDs"
"contig146927","P48380"
"contig211182","Q6DKN2"
"contig205787","O95721"
"contig105411","Q5TC82"
"contig176061","P55143"
"contig104976","No_Uniprotmatch"
"contig77141","O35857"
"contig108147","Q66H84"
"contig155851_69784_130543_130414","Q8R3Y8"
"contig110597","No_Uniprotmatch"
"contig99899","No_Uniprotmatch"
"contig161127","Q28ET4"
"contig148555","P40201"
"contig8613_14190_58643","Q9WV04"
"contig110209","Q13332"
"contig73970","Q8QFP8"
"contig80425","Q99PI5"
"contig141112","Q12986"
"contig77426_155717","Q6GLR6"
"contig71636","P25386"
"contig153645","No_Uniprotmatch"
"contig116932","P67963"
"contig153310","Q91147"
"contig149986","O93274"
"contig81982","No_Uniprotmatch"
"contig105967","D5UJ42"
"contig150973_178887_189038","P11233"
"contig180642_176080_184415","No_Uniprotmatch"
"contig147993","Q80XK6"
"contig4771","Q5TBA9"
"contig17128_66205","Q11179"
"contig167137","Q05682"
"contig169648_213752_103409_113325_193893_156466_142688","Q9NYI0"
"contig109034","Q0V9W6"
"contig150403","Q6GPD0"
"contig75868","Q86XN7"
"contig105458","Q63569"
"contig145126","A1L1W9"
"contig169649","No_Uniprotmatch"
"contig210332","C3YMU0"
"contig112964","Q5QD04"
"contig82145_70935","Q5DTV4"
"contig146708","Q7KM13"
"contig81225","P02468"
"contig174412_169122","No_Uniprotmatch"
"contig98181","Q9WV30"
"contig179549","No_Uniprotmatch"
"contig75692","Q6GQX6"
"contig59222","Q99102"
"contig171487","P50430"
"contig117530","Q02246"
"contig119157_116827","P85120"
"contig209626","Q3UVC0"
"contig99473","O18806"
"contig182572","Q25677"
"contig171277","C3ZHM9"
"contig177316","Q35099"
"contig81797","No_Uniprotmatch"
"contig81515","Q5XI41"
"contig107904_151594","Q9HAW4"
"contig148391","Q24760"
"contig105445_106330","Q9NSA2"
"contig151568","Q6UWE0"
"contig19868","Q9DGG6"
"contig104395_153016","Q2MJB4"
"contig76275","Q2T9N1"
"contig68762","O43246"
"contig183282","Q13114"
"contig107679","No_Uniprotmatch"
"contig150802","C3Y5H9"
"contig115703","No_Uniprotmatch"
"contig149854","O43900"
"contig170989_158876","Q14135"
"contig186698","Q96PM5"
"contig145192","Q7Z6G8"
"contig111511","Q14789"
"contig130472","P25291"
"contig112589_152022","Q6ZR37"
"contig166881","No_Uniprotmatch"
"contig115568_155541","Q9NQT8"
"contig86056","No_Uniprotmatch"
"contig22118_193399_68418_31068_72934_122082_115522_182927_186835","Q9Y6P5"
"contig180187","D6WE01"
"contig69897_179628_114571_192796","Q53HC0"
"contig219036","C3ZH48"
"contig176693","Q99MZ8"
"contig156387","No_Uniprotmatch"
"contig148638","O94885"
"contig106559","Q5R9H4"
"contig12801","No_Uniprotmatch"
"contig76370","P35918"
"contig77984_188517","Q02083"
"contig157830","No_Uniprotmatch"
"contig66910_44921","Q9VJE5"
"contig149364","No_Uniprotmatch"
"contig179512_186518_218389_123439","Q95LU3"
"contig214192","Q0GBZ5"
"contig68280_112192","A6QP70"
"contig82950","Q5U239"
"contig82810","A6H6W9"
"contig54742","Q03001"
"contig600223","No_Uniprotmatch"
"contig147306","Q86Y82"
"contig209275","No_Uniprotmatch"
"contig151773","No_Uniprotmatch"
"contig146029","Q92538"
"contig153632","Q9HD67"
"contig145010","C3ZHP1"
"contig105930","E2JEI9"
"contig107260","Q64319"
"contig134901","P26686"
"contig147019","Q6TMK4"
"contig145163_129219_52852_76039","O35889"
"contig171048_211709","No_Uniprotmatch"
"contig72658","Q91641"
"contig125634_109572_56140","Q80UK0"
"contig148941_145333","P21328"
"contig186084","No_Uniprotmatch"
"contig59527","F6T774"
"contig97075","Q5F3G6"
"contig211340_182445","Q9NZJ4"
"contig212770","No_Uniprotmatch"
"contig178103_148016","Q28GD4"
"contig76130","P47862"
"contig159909","P35286"
"contig68716","P98088"
"contig178720_177820","Q7ZUW2"
"contig112014","Q23023"
"contig111003","No_Uniprotmatch"
"contig176068","No_Uniprotmatch"
"contig169577","P41180"
"contig150483","Q6PE01"
"contig169440","Q5NVI9"
"contig147061","Q00963"
"contig118096","No_Uniprotmatch"
"contig148741","No_Uniprotmatch"
"contig169192","Q7T3Q2"
"contig208440_212577","Q4VA61"
"contig203754","C3Y5H9"
"contig174712","Q96L93"
"contig81382","No_Uniprotmatch"
"contig146788_211999","P08775"
"contig70061_148962","No_Uniprotmatch"
"contig140774_54258_205078","Q29496"
"contig22474_170049","Q8BPM0"
"contig147094","Q8K406"
"contig75555","Q13887"
"contig75969","O14908"
"contig176933","No_Uniprotmatch"
"contig68436","Q2VYC5"
"contig170438","Q10341"
"contig75654","Q9CYH6"
"contig145686","Q5T5Y3"
"contig150457_183001_125485","A7Y2W8"
"contig97861","Q803V3"
"contig203113","P08775"
"contig69843","Q9WV92"
"contig152030","P49760"
"contig205447","No_Uniprotmatch"
"contig170883_111595","Q9DDN6"
"contig80956_106331_14555_97402_212104","Q9D4H7"
"contig205110","Q14789"
"contig192271_81701","Q3V6T2"
"contig59932","E9HDA4"
"contig205765","Q0VDN7"
