"modGenes","modUniprotIDs"
"contig205787","O95721"
"contig8613_14190_58643","Q9WV04"
"contig77426_155717","Q6GLR6"
"contig149986","O93274"
"contig167137","Q05682"
"contig13924","Q811U3"
"contig194113_104238_151384","F7AV82"
"contig19868","Q9DGG6"
"contig104395_153016","Q2MJB4"
"contig150802","C3Y5H9"
"contig112589_152022","Q6ZR37"
"contig115568_155541","Q9NQT8"
"contig76370","P35918"
"contig66910_44921","Q9VJE5"
"contig68280_112192","A6QP70"
"contig97075","Q5F3G6"
"contig45014_70350_108742","Q4V909"
"contig71242","Q9NQT8"
"contig97861","Q803V3"
"contig170606","Q8WUM4"
"contig176030","Q9GYZ0"
"contig153162","Q5RA75"
"contig181297_209247","Q5RAG8"
"contig144628_109889","Q9ET78"
"contig152340","No_Uniprotmatch"
"contig19196_74211_158296","Q2VJ60"
"contig147839","A0P9L2"
"contig70811_201976","Q9C0D7"
"contig218467","Q8BSI6"
"contig94465","F4QCW7"
"contig73509","Q66H62"
"contig207933","Q29RQ1"
"contig49970_205299_79209_16752_153278","Q07598"
"contig60701","Q2M1K5"
"contig107745_150852","P37709"
"contig165389_151529_18522_181937_190499","Q96RW7"
"contig176533","Q23381"
"contig170139","B1VEI4"
"contig150431_183033_182666","E5S895"
"contig169587","Q15075"
"contig117093","Q99102"
"contig150259","B1H283"
"contig111529_105910","Q28685"
"contig145773","Q4U0G1"
"contig107716","B7Q1N5"
"contig59782","O75095"
"contig153038","Q9C091"
"contig66895","No_Uniprotmatch"
"contig52452_118960","Q8IWV8"
"contig212759","No_Uniprotmatch"
"contig65926","Q6ZUG5"
"contig193396_97659_110469","Q23939"
"contig149929","Q7RTN6"
"contig182267_25951_116044","A6MHQ4"
"contig151612","P18503"
"contig210775","Q92994"
"contig145202","P12387"
"contig167866","Q56A40"
"contig183484","Q96CG8"
"contig184854_104195_212169_117183","Q9ES74"
"contig153387","C8ZAF8"
"contig151291","Q6GLQ4"
"contig150410","Q6QNK2"
"contig152256","P18503"
"contig169624_182639","Q7ZU45"
"contig186469","No_Uniprotmatch"
"contig96421_189251","Q5PRF9"
"contig74841_140103_111770_104600_205706","Q5SNQ7"
"contig110645_118136","Q8BQB6"
"contig154644_59356_4773","Q66JG8"
"contig78313","No_Uniprotmatch"
"contig99552_152157","Q504Y3"
"contig188524_70071","No_Uniprotmatch"
"contig91830_119427","No_Uniprotmatch"
"contig69285","Q5ZHP5"
"contig147332","Q6IMM8"
"contig148935","P46940"
"contig70798","No_Uniprotmatch"
"contig99752","O14514"
"contig152289_204121","Q8N6T3"
"contig181873","Q5DU56"
"contig219229_106934","O89114"
"contig15632_117793_170020_79720","Q10741"
"contig131505","E2JEI9"
"contig151955","No_Uniprotmatch"
"contig150837","P29374"
"contig108569_211830_208029","Q8C1B2"
"contig8199_148757","Q8C9H6"
"contig51608_202228_59214","Q6P4Y6"
"contig117453_115498","O14744"
"contig137991","Q8VDZ4"
"contig79914","Q0KIA2"
"contig66599","A0MSJ1"
"contig109591","Q2L969"
"contig114296","Q5PRF9"
"contig151351","Q5F3G6"
"contig203899","P82279"
"contig76271","Q9UDY8"
"contig600148","Q96AY4"
"contig73102","E9ICB0"
"contig153294","P10394"
"contig69082","P37709"
"contig147785_111657_104575_74373","Q28G71"
"contig205835","Q9GR88"
"contig178876","Q08BW0"
"contig74593","O95470"
"contig1246","Q5R9H4"
"contig184411_190619","No_Uniprotmatch"
"contig190154_13591","Q8NB59"
"contig203562","Q92997"
"contig203581","A5A6N4"
"contig120889","No_Uniprotmatch"
"contig97401","Q9H1H9"
"contig94418","Q6GR34"
"contig74644","Q14677"
"contig208394","No_Uniprotmatch"
"contig105662_153363_44812","O75486"
"contig146729","Q5RCZ5"
"contig77416_147553","C3ZQQ2"
"contig74661","P25807"
"contig147070_192724_108227","P56273"
"contig72727_219834_4951_112640_104338","Q9DGG6"
"contig75901_192713_79251_10102_3248_145222_55426","Q5R7T9"
"contig148578_170429","Q86UP6"
"contig600221","Q6AYY8"
"contig147255","P27401"
"contig73908","P21802"
"contig20817","A8K855"
"contig186378","Q3LG56"
"contig139100","A4QP81"
"contig153036","Q9Z206"
"contig165726_179309","No_Uniprotmatch"
"contig151785_170434","Q9CWK3"
"contig137281","Q8N1D5"
"contig79286","D3BTD5"
"contig145860","Q5R971"
"contig112268_119770","Q9NGQ2"
"contig171079","Q9H324"
"contig99921_218449_5860_158351_79662","O16025"
"contig107100_100361","Q9V9J3"
"contig207859","O95470"
"contig14948_81708_116425","Q9ULH0"
"contig600100","Q5EBL4"
"contig108632","No_Uniprotmatch"
"contig106475","P98070"
"contig145724","No_Uniprotmatch"
"contig146301","Q9BYB0"
"contig149856","Q7RTN6"
"contig176478","Q7RTR2"
"contig203962","A2AU72"
"contig109265","Q29492"
"contig146940","Q9NRA8"
"contig150264","Q568K2"
"contig146700","No_Uniprotmatch"
"contig146717","P00528"
"contig149768","Q9BQS8"
"contig145512","O00468"
"contig600189","Q5XIN9"
"contig176652_176846","Q9P275"
"contig178314","A6H584"
"contig151750_128326_114244_191868","P21328"
"contig78666","No_Uniprotmatch"
"contig145799_109588","Q96RW7"
"contig190128","Q5R660"
"contig76295","P41180"
"contig110381_168039","Q5ZJY3"
"contig187195","C6FG12"
"contig146118","Q4JIM4"
"contig55878_108221_116640","Q54RR9"
"contig79406_145891","Q29RK4"
"contig119111","Q12933"
"contig210220","Q5R6R7"
"contig82754","Q8K1P8"
"contig119308","O89114"
"contig66852","No_Uniprotmatch"
"contig600130","A1L233"
"contig79082","Q6P132"
"contig147863","Q5GLZ8"
"contig188763_205059_212131","Q7T005"
"contig20410_109360_77120","Q5PPV2"
"contig154013","O95236"
"contig150312_171941_143476","Q9UNQ2"
"contig147248_202399","Q4VC17"
"contig208056","Q503P5"
"contig147609","Q96ST2"
"contig20389_117923","Q9UMX1"
"contig76026","Q9BYB0"
"contig113681_94438_158300","C5LWQ3"
"contig172967","Q1RMU2"
"contig147475","Q8BRC6"
"contig600020","Q6P132"
"contig209065_132663_110736","Q9P2C4"
"contig58630","Q9UI14"
"contig112947_203584_211696","Q32LP9"
"contig147894","Q29RU2"
"contig147924","Q96PV6"
"contig150062_178043","Q90Y54"
"contig147718","Q6IFU1"
"contig72159","Q63410"
"contig184216","O70624"
"contig94100","E2QDA5"
"contig148796_92834","P10867"
"contig205889","Q5R4F5"
"contig600183","O89114"
"contig74358","Q5VXU1"
"contig169670","P24507"
"contig203880","Q9NGQ2"
"contig70742","Q96RW7"
"contig145777","Q58DQ5"
"contig66426","Q6ZVL6"
"contig171464","P49792"
"contig73625_79883_74837_111011","E5T4F4"
"contig80416","Q66H60"
"contig210183","Q8BPM0"
"contig167986","Q10741"
"contig111388","Q3BJS3"
"contig124845","Q13114"
"contig196870_170672","No_Uniprotmatch"
"contig98250","Q64640"
"contig152457","A4QP81"
"contig210190","A6QLD2"
"contig153381","Q5RD26"
"contig13755_150035","Q2YDN4"
"contig82476_108709","Q9BXW6"
"contig118397","C3ZVW6"
"contig130617_205539","Q7ZTM9"
"contig170686_149319","Q6GNY1"
"contig60060","Q58NQ4"
"contig71846","Q5RCN4"
"contig151336_170534","Q9UBU6"
"contig145715","Q5SQM0"
"contig182860","P24346"
"contig150350_600068_104725_115686_140729","Q90XB6"
"contig202526","No_Uniprotmatch"
"contig150487","Q8BPM0"
"contig209361","Q96PV6"
"contig147098","Q5XIN9"
"contig148827","Q969T9"
"contig115307","O89001"
"contig122943_191570_73715","P09216"
"contig71834","P22758"
"contig204871","No_Uniprotmatch"
"contig207972","No_Uniprotmatch"
"contig146377","C8YR32"
"contig148787","Q9IA31"
"contig75019","O02695"
"contig145357","A4IFW2"
"contig82236","No_Uniprotmatch"
"contig170810","Q63054"
"contig12867_142623_79520_172896_150105_152164_214037","A6NN14"
"contig151421","A4IFW2"
"contig205005","Q08CI4"
"contig145295","O02466"
"contig27736","Q96PQ7"
"contig170352","E1C2V1"
"contig164753_219382","Q5T2S8"
"contig170059","Q6INU7"
"contig99120","A6PW82"
"contig176894","Q96AY4"
"contig148048","Q6PDJ1"
"contig147838","Q7YRB7"
"contig111078_179790","Q8BHG1"
"contig71438_109616_18951_19331_203656","O60341"
"contig153298","Q96RW7"
"contig152479","No_Uniprotmatch"
"contig152776","Q5RDR2"
"contig174468_140492","Q3UVC0"
"contig198664_135325_213365_213809","Q80TR8"
"contig600196","P22897"
"contig182736","No_Uniprotmatch"
"contig78909","E9IFH2"
"contig184947_152906_115572_99346","Q5ZKI4"
"contig146280","Q63HM2"
"contig146966","No_Uniprotmatch"
"contig120203_98163","Q80VW5"
"contig210686","O60934"
"contig145443","Q80TV8"
"contig178327","No_Uniprotmatch"
"contig145146","Q9HCS5"
"contig182219","O17494"
"contig148826","Q497V6"
"contig105001","No_Uniprotmatch"
"contig153662_182024","Q61062"
"contig81372","P14629"
"contig180957_188826_117523","P70549"
"contig70817","Q9Y5Z4"
"contig111801","Q9P2N4"
"contig183066","No_Uniprotmatch"
"contig17589","Q8C8R3"
"contig182524","Q96AY4"
"contig81284","Q5VYJ5"
"contig116133_218938","No_Uniprotmatch"
"contig209950","P35546"
"contig204757","Q96PQ7"
"contig151488","P11680"
"contig79401","No_Uniprotmatch"
"contig204384_69966","Q7T0T9"
"contig167055","No_Uniprotmatch"
"contig44778_169605_129881","No_Uniprotmatch"
"contig148718","P35546"
"contig75050","No_Uniprotmatch"
"contig105773","No_Uniprotmatch"
"contig148984","Q8BQB6"
"contig209502_153633_179992_178317_212950_218668_72617_195360_219291","Q66TN7"
"contig160029_205494_208350","P79114"
"contig107308","Q7ZVB1"
"contig82773","Q80XC3"
"contig119527_511","P59723"
"contig71520","Q9D9W1"
"contig73958_209521","Q6AYB5"
"contig145439","O00468"
"contig148323","Q8IRC7"
"contig177965_146397_184733","Q9D2G9"
"contig148583","A7Z035"
"contig56546_118551_80711","Q80XC3"
"contig15490_179260_212860","Q5TTP0"
"contig146592","Q01085"
"contig117502","No_Uniprotmatch"
"contig179866_23234","Q9CQ33"
"contig104527","Q90XF2"
"contig74031","Q5RBL1"
"contig119960_93993_24191_82875_210444","Q8N2E2"
"contig150839","Q5RAK6"
"contig208360_70924_53735_213430_79907_213827_14715_104981","Q9H0D2"
"contig148084","P21956"
"contig148629","No_Uniprotmatch"
"contig167547","Q8IWW6"
"contig174669","Q0P5M9"
"contig168937","Q91924"
"contig147588","Q6IP06"
"contig111465_139021","Q9CW42"
"contig600104","Q96DM1"
"contig128934_75373","Q96AY4"
"contig80669","Q9H324"
"contig76946_80886","D8LZR7"
"contig186916_73128","Q9H161"
"contig111292","Q6P132"
"contig600005","Q8BFQ6"
"contig147909_153909","A6QLU6"
"contig69572","Q68FV3"
"contig73363_56674_39704","Q9P2N4"
"contig111747","Q5R9W1"
"contig169840_104157","P12387"
"contig151687","Q5R9T9"
"contig74509","Q28ES4"
"contig176516","Q63410"
"contig194857","Q9UKN7"
"contig203152","P22758"
"contig169301","Q3T0J9"
"contig202554","Q9Y2C9"
"contig78207","P21575"
"contig120841","Q13114"
"contig97919","No_Uniprotmatch"
"contig106737","Q96RW7"
"contig213977_69672","P12387"
"contig108495","Q32L50"
"contig152869","P22758"
"contig96673","P38529"
"contig109555_218905","Q8TDM6"
"contig182396","P97393"
"contig196363","Q96PQ7"
"contig79297","Q4U0G1"
"contig146407","Q96KP1"
"contig146425_176770","Q502W6"
"contig104230_177771_190078","Q9IBG7"
"contig81237","A1X283"
"contig60257","No_Uniprotmatch"
"contig211095","No_Uniprotmatch"
"contig19657_147313","Q9H0J4"
"contig80438","Q13576"
"contig169632","B5DFC8"
"contig8525_20916_114188","Q96242"
"contig144952","Q6P4S6"
"contig20082_107392_75141","Q8TDM6"
"contig600157","Q8IWY4"
"contig147153_185124","O46680"
"contig153223","O15484"
"contig104068","Q7RTK8"
"contig219598","P98153"
"contig33153_206025","Q5RAK6"
"contig154089","Q5RFE6"
"contig100110_36597","Q6PDJ1"
"contig115809","Q96RW7"
"contig138920","No_Uniprotmatch"
"contig77748","Q9BRZ2"
"contig152064","Q5BJI7"
"contig116351","Q5ZIE8"
"contig2888","P41180"
"contig146368","Q2KIU7"
"contig71507","P16066"
"contig151907","O93429"
"contig60735","Q9H324"
"contig82795","C3Y1Y2"
"contig152231","Q08BW0"
"contig107634","Q9UHG0"
"contig77844","P0C6B8"
"contig208887_160928_119892","Q5VU97"
"contig179765_106494","Q9JHJ0"
"contig207823","No_Uniprotmatch"
"contig137644_170188","Q9UL25"
"contig182735","Q7ZXH3"
"contig68706","No_Uniprotmatch"
"contig81462_160909_158312","Q5YLM1"
"contig81346","Q5FVG2"
"contig205987","P10079"
"contig170066","Q54U75"
"contig110305","Q3MHV9"
"contig131468_98464","Q9BYB0"
"contig167097","P37397"
"contig153315","Q9LQV2"
"contig150794_70333","Q566I1"
"contig213959","P20241"
