"modGenes","modUniprotIDs"
"contig181061","Q16959"
"contig98826","Q99PK0"
"contig52027","P0C7T5"
"contig74463","No_Uniprotmatch"
"contig176655","Q9FR44"
"contig76592","Q8AY73"
"contig81243","No_Uniprotmatch"
"contig210947","O64411"
"contig71787_203967","Q9P225"
"contig71233","Q0MQB1"
"contig129162","No_Uniprotmatch"
"contig185789_218407_170477","Q58A42"
"contig79615_22297_148922","Q3U481"
"contig92948","Q01059"
"contig212983_207282","Q6NZC7"
"contig56134","P23785"
"contig107613","Q6P9Z1"
"contig148152","Q91641"
"contig147730_190586","Q8BMK0"
"contig66376_170666","Q96M02"
"contig59595","Q6ZU80"
"contig138960_81218","Q7TPL3"
"contig140838_212762","P85970"
"contig207888_82796","No_Uniprotmatch"
"contig146918","O95714"
"contig116072_111752_120057","Q178L7"
"contig171237","Q5R6R7"
"contig109115_138935","Q99M63"
"contig181142","Q99L90"
"contig139003_139524_152692_116056","Q8BL66"
"contig205488","Q7SXP8"
"contig171183","Q9STG6"
"contig76532_72434","O54825"
"contig211565_169109","Q9D4V3"
"contig76067_177706","Q9DCT6"
"contig152024","No_Uniprotmatch"
"contig138655_211201_139213","Q3UPY5"
"contig177629","Q54H46"
"contig147465","Q9JID1"
"contig74059","Q96P53"
"contig150807","Q75WB5"
"contig147824","P39057"
"contig71531","O55201"
"contig113779","Q9H172"
"contig171717","Q9TBW2"
"contig25200","P22127"
"contig76787","Q4S8R7"
"contig117577","No_Uniprotmatch"
"contig101271","P04274"
"contig147941","P77234"
"contig17290_74568_97598","Q9TTK0"
"contig59157_108149_193286","Q01588"
"contig169658","Q8UVX0"
"contig119371","Q4JIM4"
"contig170224_137992","Q9D818"
"contig56921","P46013"
"contig203391","Q15154"
"contig209999","B0BNA9"
"contig148025","C3Y3Y7"
"contig168744_218437","O88470"
"contig75934","Q6P618"
"contig104848","E7BKJ3"
"contig179553","Q71U34"
"contig114255","Q63396"
"contig75611","Q6QQT1"
"contig98239","Q5ZMV2"
"contig151391_60403","Q96RL7"
"contig131688_167032","Q2IA00"
"contig151960","Q2XWK0"
"contig174378","Q32NG4"
"contig205384","E3VL78"
"contig74360_111290","Q26619"
"contig57772_147147","Q5R9B8"
"contig172213","P19984"
"contig171833","No_Uniprotmatch"
"contig76389_18390_202255","Q8N1V2"
"contig163536","Q5VXI9"
"contig204163","Q0WKV3"
"contig148732_194072_171706","Q96M69"
"contig216838_186354_152455_68832","Q6P5D8"
"contig147818","P31729"
"contig76519","Q8UVX0"
"contig75114","B4LIG6"
"contig76438","P42620"
"contig59546","Q8IVF4"
"contig151815","P23258"
"contig150175","A6PW82"
"contig106142","Q6DGV1"
"contig209801","Q99J56"
"contig175984","P57306"
"contig175691","A5DEZ6"
"contig208201","No_Uniprotmatch"
"contig71630_208276","Q5U4F6"
"contig171518","O73715"
"contig204862","Q5R8T5"
"contig151772","Q6PCX9"
"contig149574","P46023"
"contig69044","P38487"
"contig203385","No_Uniprotmatch"
"contig159689","Q8R235"
"contig132381","B1VEI4"
"contig205220","Q99MV1"
"contig69645_77827","Q62252"
"contig205867","Q6ZNB6"
"contig147120","Q6Q759"
"contig147805","Q6GNG8"
"contig8248_6732_14081_97654_170876_18073_105904","O96028"
"contig177663","Q5ZJ73"
"contig148078","P48547"
"contig25130","C3ZMQ9"
"contig159773_157893_219360_113496_205405","Q32LQ0"
"contig186149","E5S2V7"
"contig72915","Q9ES54"
"contig130208","No_Uniprotmatch"
"contig157493","P61917"
"contig112431_113666","Q8LGG8"
"contig73272","F6VRF2"
"contig167773","Q6CA53"
"contig175892","No_Uniprotmatch"
"contig121202","F2CCN6"
"contig94001_22631_109013","O09032"
"contig177114","Q9P7M5"
"contig112398_174634_119302","Q6DIF4"
"contig169106","Q9VKJ9"
"contig152409_74549","P78504"
"contig147125","No_Uniprotmatch"
"contig153380","Q5R9I6"
"contig153102","P86884"
"contig209418","O08874"
"contig145485_117598","O60308"
"contig75420_218277","O43684"
"contig116479_202176","Q7TPQ9"
"contig80507","P23098"
"contig100368","P40618"
"contig147938","P55265"
"contig215843","Q3UZV7"
"contig209567","A8C9L9"
"contig187631","Q4QL83"
"contig173851_71333","C3YG88"
"contig169522","Q921Y2"
"contig13009","P46734"
"contig16039_125531","P0C2B7"
"contig147804","C3YPM5"
"contig75439","Q9JID1"
"contig106291","P41384"
"contig109307","Q9V3A6"
"contig145745","Q6Q759"
"contig194827","A4D7S9"
"contig98996","Q9D9M5"
"contig69545","O60234"
"contig212787_213088","Q9UBC2"
"contig147203","Q9Y238"
"contig169708","Q8LGG8"
"contig169674","P40618"
"contig153964","Q9WVL0"
"contig91090","O95433"
"contig145070","No_Uniprotmatch"
"contig174891","Q29J30"
"contig170934","Q6P635"
"contig216826","Q96AY4"
"contig145217","Q9UBQ7"
"contig72300_78000","Q4R6F8"
"contig145138","Q16960"
"contig71741_116489","Q8VDM6"
"contig171298","Q8NBS9"
"contig53555_98938_80516","Q924X7"
"contig205468","Q8LGG8"
"contig147204","Q6DEZ2"
"contig170403","P11388"
"contig81819","Q9WYX8"
"contig195376","P61917"
"contig73780","Q4R7V3"
"contig20940","No_Uniprotmatch"
"contig15538_127865","Q3SYV5"
"contig106558","No_Uniprotmatch"
"contig148096","P56571"
"contig152938","Q60716"
"contig147978","O74212"
"contig89858_22524","C3Z3F4"
"contig186474","P57306"
"contig151055","P23098"
"contig180678_109296_25676","P36887"
"contig114358","Q9P278"
"contig159140_68527","Q8BSY0"
"contig66738","Q6NV34"
"contig180094","No_Uniprotmatch"
"contig150832_55109_180850","A2A870"
"contig69836","Q05764"
"contig10983","Q7TN02"
"contig109776","Q5R9W3"
"contig177395_118100","Q96K30"
"contig151308_192533","B8ISX5"
"contig74890","Q9D0P5"
"contig208146_209933","F1QY25"
"contig74645","Q6DIS1"
"contig205176_209756","A2CEI6"
"contig175650","P11388"
"contig219400_106059_71434_77142","Q8R317"
"contig80356","P42126"
"contig105645","Q9VVY3"
"contig72679","P70470"
"contig79629","Q6P819"
"contig55637","Q5T0N1"
"contig148670","Q8NFG4"
"contig104108_178914","O60094"
"contig211142","Q6UWE0"
"contig117497","B8JJN4"
"contig131895","Q5R7A8"
"contig72562","Q5TCS8"
"contig72994_180027","Q9JJ09"
"contig147413","Q5RF07"
"contig152331","Q9DGN0"
"contig164782_68004","Q8R332"
"contig68905_203944","Q5RAY5"
"contig151799","Q9U6Y6"
"contig147479_118982","P61765"
"contig189002","Q9CXV1"
"contig110122","B3CRZ0"
"contig173571","P35444"
"contig182255","Q8BN82"
"contig152069","Q9UNS1"
"contig70251","E0SPF2"
"contig216079_181764","Q9D180"
"contig3161","Q9CQI7"
"contig73535_179532","No_Uniprotmatch"
"contig115263_73711_149566","Q6GQ82"
"contig187340","B3ECZ0"
"contig104747","Q9VKM1"
"contig170001","Q5R9I6"
"contig75612","Q8BH04"
"contig210978","Q99JW4"
"contig138620","A4FUZ5"
"contig10366_169504","P13816"
"contig54490","Q9Y493"
"contig107491_4138_148087","P02457"
"contig19784_178080","P08510"
"contig104155_53047","P36633"
"contig74942","Q58A42"
"contig152341","Q5U3G6"
"contig203707","No_Uniprotmatch"
"contig109193_72868","P49739"
"contig59969","Q5I598"
"contig148155","Q9NU02"
"contig167936","Q24572"
"contig182892_138721_131","Q5ZLT0"
"contig2003_204855_156395","P51400"
"contig20955_170818_93789","P20650"
"contig119162_178227_203170","Q6P9P6"
"contig170910_19754","Q6V4S5"
"contig185670","Q110T7"
"contig77552","No_Uniprotmatch"
"contig207916","Q9D2H2"
"contig78272","No_Uniprotmatch"
"contig147064","Q59022"
"contig210719","Q8CHQ0"
"contig1516_180692","Q9CZB9"
