"modGenes","modUniprotIDs"
"contig176061","P55143"
"contig155851_69784_130543_130414","Q8R3Y8"
"contig180642_176080_184415","No_Uniprotmatch"
"contig151104_213110_161072","Q32PX7"
"contig71923","Q04589"
"contig79161","C3ZT35"
"contig210332","C3YMU0"
"contig146708","Q7KM13"
"contig179549","No_Uniprotmatch"
"contig119157_116827","P85120"
"contig107904_151594","Q9HAW4"
"contig148391","Q24760"
"contig107679","No_Uniprotmatch"
"contig115703","No_Uniprotmatch"
"contig166881","No_Uniprotmatch"
"contig156387","No_Uniprotmatch"
"contig157830","No_Uniprotmatch"
"contig214192","Q0GBZ5"
"contig151773","No_Uniprotmatch"
"contig105930","E2JEI9"
"contig145163_129219_52852_76039","O35889"
"contig72658","Q91641"
"contig148941_145333","P21328"
"contig186084","No_Uniprotmatch"
"contig59527","F6T774"
"contig212770","No_Uniprotmatch"
"contig76130","P47862"
"contig81382","No_Uniprotmatch"
"contig75555","Q13887"
"contig75969","O14908"
"contig68436","Q2VYC5"
"contig170438","Q10341"
"contig152030","P49760"
"contig205447","No_Uniprotmatch"
"contig175630_174532","Q9P241"
"contig106162","No_Uniprotmatch"
"contig171007_158121","Q7YQK9"
"contig167229","P38529"
"contig113500","Q9BYX4"
"contig153415","Q8IYN6"
"contig209959","Q9QYM9"
"contig8099","P41970"
"contig77727","Q8IZP9"
"contig214077","C3Y5R5"
"contig145094","C3YKL0"
"contig82908","Q61532"
"contig74874_208523","Q8WZ42"
"contig200459","Q9R112"
"contig54337","No_Uniprotmatch"
"contig152997_143698_202181","Q8IZP9"
"contig72121","Q2MCN4"
"contig3291_136574_146486","Q33E94"
"contig152955","Q9JMH4"
"contig178721","No_Uniprotmatch"
"contig99612_9833_81597","Q10142"
"contig211695_92717_36548","P04323"
"contig184278","No_Uniprotmatch"
"contig73235","D3BTD5"
"contig205026","Q9Y5S8"
"contig70222","Q96MD2"
"contig145830_152934_69049_75651","Q2MJT0"
"contig187001","Q95LU3"
"contig75223","A4F4L4"
"contig169260_112974_110218","O70436"
"contig26421_97721","No_Uniprotmatch"
"contig148072","No_Uniprotmatch"
"contig147419","O89001"
"contig109811_163735_108459","Q1PRL4"
"contig80651","Q6SA80"
"contig175866","Q568Z6"
"contig74575","No_Uniprotmatch"
"contig72154_137458","A5D7A0"
"contig151369","No_Uniprotmatch"
"contig96335_96261","No_Uniprotmatch"
"contig69230","Q6PH57"
"contig115799","No_Uniprotmatch"
"contig70301","B2RVL6"
"contig108387","Q8SQG9"
"contig78588_106539_99032","Q55G75"
"contig146349","Q9Z1N3"
"contig71989","P15336"
"contig76156","Q9I8J6"
"contig118610","Q86Y13"
"contig205588","Q5F3L4"
"contig97664","B0V2N1"
"contig112656","Q9P2H5"
"contig79924_213295","Q5T5Y3"
"contig153853","No_Uniprotmatch"
"contig174351_188869","Q5ZLX5"
"contig75713_132719_110407","Q9Y297"
"contig108308","O54928"
"contig147107_5534_31354_157258","Q5R7S6"
"contig113086","Q5VTT2"
"contig176937_175723","A2FFX8"
"contig177071","O96952"
"contig150605","Q8IWV8"
"contig172206","No_Uniprotmatch"
"contig76377","C3Y3C2"
"contig76011_11502","Q5XI32"
"contig75388_194067_112181","P70704"
"contig177673","P18503"
"contig118951_51767_105980","Q90889"
"contig204025","No_Uniprotmatch"
"contig209263","P38529"
"contig77846_104225","Q5REM7"
"contig109664_201994","Q8TC84"
"contig145778","Q12923"
"contig179174","Q92734"
"contig117970_92676","Q99JG3"
"contig216267","O57422"
"contig148561","Q96B97"
"contig205210","Q54F46"
"contig204221_175631","P05689"
"contig73872_22180","Q9JK71"
"contig88140","Q95LU3"
"contig101711","A4IGL7"
"contig188478","Q9NTM9"
"contig176562","No_Uniprotmatch"
"contig23833","P42583"
"contig26700_26131","P07700"
"contig169479","Q9QYS2"
"contig48502","P25931"
"contig18484","Q8JZZ6"
"contig151019","C3YW70"
"contig127268_127320_189707","Q8K4L3"
"contig93721","P21328"
"contig188699","No_Uniprotmatch"
"contig182044","P13346"
"contig107084_178316","Q5ZMM5"
"contig180844","No_Uniprotmatch"
"contig78574","No_Uniprotmatch"
"contig212947","Q7ZVN7"
"contig159783_180414","P10394"
"contig171114","Q6P132"
"contig109343","Q01721"
"contig153241","Q12894"
"contig109642","P37709"
"contig150424","Q9U3S9"
"contig186144_217767","No_Uniprotmatch"
"contig205347_218409","P40564"
"contig148512","Q7Z3B3"
"contig212386_147884","Q02246"
"contig117107","P48509"
"contig112413","No_Uniprotmatch"
"contig8675_164982_152407","P20909"
"contig51702","Q5PQQ2"
"contig600002","P34743"
"contig193366","P29084"
"contig105369_111823","Q14677"
"contig83158","P42674"
"contig175716","No_Uniprotmatch"
"contig150474","P48733"
"contig140419","No_Uniprotmatch"
"contig10849","Q9W6H5"
"contig600057","Q61655"
"contig171000","Q55G75"
"contig187421","O88947"
"contig187659_165774","Q86Y13"
"contig78121","A2BGU9"
"contig72895","Q3UKU1"
"contig151868","Q6ZR37"
"contig145450_181814_176045","P20482"
"contig147654","Q6V0K7"
"contig151037","Q7ZXQ3"
"contig178451","P21758"
"contig196682","Q5ZIE8"
"contig77503","B3RQP5"
"contig82410","P35446"
"contig177119","P81556"
"contig600075","P21761"
"contig72337","Q9QYM9"
"contig186155_189383","B1VEI4"
"contig18178","Q95LL3"
"contig170195","Q2MCN4"
"contig73436","No_Uniprotmatch"
"contig97061","Q9EQX9"
"contig99505","P18519"
"contig109599","Q5TC82"
"contig210939","D7FRJ7"
"contig204240","Q5R9H4"
"contig104960","Q9IBG7"
"contig109665","A5GFW7"
"contig81746","Q90XB6"
"contig75793","O95685"
"contig151290","P07207"
"contig148836","D7FRJ7"
"contig68447_116139","O94818"
"contig148295_115958","Q5XIJ1"
"contig149049","No_Uniprotmatch"
"contig202558","P13497"
"contig182137","No_Uniprotmatch"
"contig71311","Q8TEW0"
"contig59381","Q9BZ72"
"contig119620","A2AJA9"
"contig145400","Q7LHG5"
"contig177508","Q62241"
"contig176825","P70490"
"contig157992","Q9GZT9"
"contig114487","O96102"
"contig178124","Q8JHF0"
"contig150721","Q6P4Y6"
"contig189110","Q3V3R4"
"contig209672_51808_194491","Q9UNH5"
"contig127893","Q7LHG5"
"contig82679_205663","Q5R959"
"contig120807","Q9BQS2"
"contig64945_185616","Q06831"
"contig205259_58974","A1E2V0"
"contig19817","No_Uniprotmatch"
"contig56233","O95718"
"contig99193","No_Uniprotmatch"
"contig213493","No_Uniprotmatch"
"contig97117","Q6P132"
"contig215654_18675_138418","No_Uniprotmatch"
"contig172535_101930","Q3UDK1"
"contig57868","B3S388"
"contig169139","Q8AVY1"
"contig145185","Q03350"
"contig109444","P67963"
"contig195737_65261","O16118"
"contig102087","No_Uniprotmatch"
"contig114838","Q9PUT6"
"contig117664","Q6ZR37"
"contig105543","No_Uniprotmatch"
"contig177412","P60522"
"contig71958","Q6YGZ5"
"contig152412_24166_48320","B8JLX8"
"contig179660","Q90623"
"contig192665","No_Uniprotmatch"
"contig186718_207844","No_Uniprotmatch"
"contig14236","Q3SYV5"
"contig45845","No_Uniprotmatch"
"contig173344","Q9Y519"
"contig115192","No_Uniprotmatch"
"contig155264_171851","No_Uniprotmatch"
"contig105416","O75976"
"contig54829_112491","Q9Y519"
"contig107818","No_Uniprotmatch"
"contig149556","Q9GZT9"
"contig78706","O15182"
"contig209854","C3Z6K4"
"contig195949","Q95LL3"
"contig194240","No_Uniprotmatch"
"contig176305","Q8TC29"
"contig171512","Q8IUC4"
"contig112946","Q5R4K9"
"contig116132_118541_113957_194367_203121","O08710"
"contig200499_172037_95104","Q09575"
"contig152841","P74897"
"contig145188","Q9UPY6"
"contig196035","Q67NS3"
"contig212379","P52164"
"contig163718","P31662"
"contig104258_202427","Q5VYJ5"
"contig145533","P38529"
"contig104237","Q60961"
"contig209295","P08761"
"contig71596_179613","Q63410"
"contig152380","Q3MHV9"
"contig211580","No_Uniprotmatch"
"contig96362_105148_204751_179203_112698","Q91Z46"
"contig105161","A4IGL7"
"contig77002","Q6AXP1"
"contig181950_195159","Q8MVR1"
"contig181848_203465","P18654"
"contig208068","O81635"
"contig147842","Q9VEC3"
"contig54398","B3P0K6"
"contig181846","No_Uniprotmatch"
"contig211505","No_Uniprotmatch"
"contig183999","O75095"
"contig215165","No_Uniprotmatch"
"contig150972","Q9EPZ6"
"contig210549_156391","O14683"
"contig181351","Q9H6Y2"
"contig22386_175886","A7MBB4"
"contig114308","Q6ZQ89"
"contig209457","Q91828"
"contig116481","Q2MCN4"
"contig107315","F2CCN6"
"contig52422","P22637"
"contig68546","Q3SYV5"
"contig148967","Q9NBX4"
"contig171961","P07949"
"contig154081","Q5ZM91"
"contig204872_205161","Q5E946"
"contig153015","Q91X58"
"contig148769","O35889"
"contig114427","Q8NDA2"
"contig108692","Q8VHZ8"
"contig153796","Q13153"
"contig160845","Q27874"
"contig24195","No_Uniprotmatch"
"contig79910_107026","P26017"
"contig73561","Q9WUH1"
"contig104513","Q66T02"
"contig216186_107170","Q29RL1"
"contig152447","F6UVJ3"
"contig194129","Q8BPM0"
"contig176125","No_Uniprotmatch"
"contig185099","Q9BZM1"
"contig85212","Q7LHG5"
"contig71779","P41180"
"contig205287_215383_129438_213350_171884_118010","Q8IWB9"
"contig70546","B7QEX6"
"contig204675","Q3V1H3"
"contig17067","Q15078"
"contig171284","A1L2P5"
"contig209177","P54357"
"contig216200","No_Uniprotmatch"
"contig97762","Q9JIZ0"
"contig176840_73113","Q5R4F5"
"contig179496","No_Uniprotmatch"
"contig172578","No_Uniprotmatch"
"contig78684","Q4R8V8"
"contig204043_176973","Q6AXS4"
"contig119148","Q9UHD2"
"contig184093","Q6ZN16"
"contig25338","Q13951"
"contig151437","Q3V3R4"
"contig600215","Q9HD15"
"contig178029","No_Uniprotmatch"
"contig210744_178366","Q6NVM0"
"contig213181_23937_8894","Q91813"
"contig110161","No_Uniprotmatch"
"contig25202","Q9PUU6"
"contig114078","No_Uniprotmatch"
"contig171844","No_Uniprotmatch"
"contig83050","D8TC87"
"contig74617","No_Uniprotmatch"
"contig78439_119085_106345","Q62635"
"contig179998","Q8BST6"
"contig204381_204678_16272","Q8BH52"
"contig106532","No_Uniprotmatch"
"contig174776","No_Uniprotmatch"
"contig55668","B5FZ19"
"contig212522","No_Uniprotmatch"
"contig177783","P40201"
"contig211169","Q76I25"
"contig69474","P49219"
"contig81979","P12226"
"contig129405","Q5RDF5"
"contig119456_214687","O88576"
"contig42428","No_Uniprotmatch"
"contig104164_3603","Q66IV6"
"contig178519_109507_209485_146991","Q8BG95"
"contig153540_106871","Q3ZMH1"
"contig105330_209682","O08585"
"contig600060","Q1ENI8"
"contig19135_77174_4972","P25122"
"contig152609","Q0VDN7"
"contig22054_82905_115590_152152","C3Z5T0"
"contig171540","No_Uniprotmatch"
"contig156919","No_Uniprotmatch"
"contig211578","No_Uniprotmatch"
"contig23870_59894","No_Uniprotmatch"
"contig104793","Q8IUC4"
"contig111589","No_Uniprotmatch"
"contig148039","C3ZK69"
"contig65669","Q6XP49"
"contig180421","No_Uniprotmatch"
"contig600112","No_Uniprotmatch"
"contig212997_69130","Q8N309"
"contig176763","Q8MVR1"
"contig99074_149869","Q6DCE8"
"contig147007","P07949"
"contig78501","Q7LHG5"
"contig209262","No_Uniprotmatch"
"contig204735","Q68CP9"
"contig81190","Q5RDI2"
"contig105487_216662_159668","Q6PAV2"
"contig125300","Q92734"
"contig169816","F2CCN6"
"contig169915","Q8K0Q5"
"contig186539","No_Uniprotmatch"
"contig108751","B3P0K6"
"contig148153","F6UEL2"
"contig145539","Q99KX1"
"contig153475","P35546"
"contig114474","Q05858"
"contig79993","Q6GNJ8"
"contig79744","Q9C0J8"
"contig179430","No_Uniprotmatch"
"contig137974","A6NIH7"
"contig198013","Q1RL39"
"contig176714_210518_105285","No_Uniprotmatch"
"contig177268","P48601"
"contig79929","No_Uniprotmatch"
"contig130384","P82252"
"contig165441","Q6NT99"
"contig167154","O35824"
"contig176424","Q9XTR8"
"contig98819","Q13247"
"contig77705_76642","Q07817"
"contig105490","Q9C005"
"contig151914_175949","P35069"
"contig209937","Q53GG5"
"contig80223","No_Uniprotmatch"
"contig145759_177443_175033","Q2EJA0"
"contig186763","No_Uniprotmatch"
"contig81868","No_Uniprotmatch"
"contig148791","No_Uniprotmatch"
"contig204498_215999","No_Uniprotmatch"
"contig152536","Q8IIG7"
"contig193455","No_Uniprotmatch"
"contig94726","Q99J82"
"contig211190_105477","P91252"
"contig104770","O89114"
"contig124984","Q96PM5"
"contig75004_106736_205607_76535","Q13637"
"contig180126","O75445"
"contig183530","Q9CPW0"
"contig153597","No_Uniprotmatch"
"contig157823_206050_25964_212918","P28562"
"contig215061","Q2LE78"
"contig118980","No_Uniprotmatch"
"contig115890_205214","Q9HAR2"
"contig153574","No_Uniprotmatch"
"contig149139_178109","Q4KLK9"
"contig194615","Q5NVI9"
"contig71366_179883","No_Uniprotmatch"
"contig117677","Q54G05"
"contig113284_97790","Q9Z220"
"contig1328_204256","Q26619"
"contig117309_183823","P04323"
"contig78534","P34269"
"contig169289","No_Uniprotmatch"
"contig176428","A0FKN6"
"contig600018","No_Uniprotmatch"
"contig208341","O94923"
"contig16400_195802","Q8N138"
"contig45230","No_Uniprotmatch"
"contig600079","P01122"
"contig151148","P86289"
"contig187139_148010","P46531"
"contig152247","No_Uniprotmatch"
"contig105337_72403_107758_98856","A6NMZ7"
"contig147779","Q01033"
"contig80888","Q969V4"
"contig146613","P10860"
"contig54870_216977_119755_99451","B3S067"
"contig76756","P35556"
"contig210426","F6VMR0"
