name	term	lev	seq	value
"phosphoprotein phosphatase activity"	GO:0004721	2	contig8644	0
"phosphoprotein phosphatase activity"	GO:0004721	2	contig64772	0
"phosphoprotein phosphatase activity"	GO:0004721	2	contig67991	0
"phosphoprotein phosphatase activity"	GO:0004721	2	contig68773	0
"phosphoprotein phosphatase activity"	GO:0004721	2	contig75019	0
"phosphoprotein phosphatase activity"	GO:0004721	2	contig80209	0
"phosphoprotein phosphatase activity"	GO:0004721	2	contig99478	0
"phosphoprotein phosphatase activity"	GO:0004721	2	contig107034	0
"phosphoprotein phosphatase activity"	GO:0004721	2	contig109730	0
"phosphoprotein phosphatase activity"	GO:0004721	2	contig111366	0
"phosphoprotein phosphatase activity"	GO:0004721	2	contig112968	0
"phosphoprotein phosphatase activity"	GO:0004721	2	contig114133	0
"phosphoprotein phosphatase activity"	GO:0004721	2	contig143569	0
"phosphoprotein phosphatase activity"	GO:0004721	2	contig147000	0
"phosphoprotein phosphatase activity"	GO:0004721	2	contig148914	0
"phosphoprotein phosphatase activity"	GO:0004721	2	contig149913	0
"phosphoprotein phosphatase activity"	GO:0004721	2	contig150330	0
"phosphoprotein phosphatase activity"	GO:0004721	2	contig150828	1
"phosphoprotein phosphatase activity"	GO:0004721	2	contig152449	0
"phosphoprotein phosphatase activity"	GO:0004721	2	contig160328	0
"phosphoprotein phosphatase activity"	GO:0004721	2	contig169657	0
"phosphoprotein phosphatase activity"	GO:0004721	2	contig186269	0
"phosphoprotein phosphatase activity"	GO:0004721	2	contig205002	0
"phosphoprotein phosphatase activity"	GO:0004721	2	contig205238	0
"phosphoprotein phosphatase activity"	GO:0004721	2	contig205335	0
"phosphoprotein phosphatase activity"	GO:0004721	2	contig211422	0
"phosphoprotein phosphatase activity"	GO:0004721	2	contig148712_16847	0
"phosphoprotein phosphatase activity"	GO:0004721	2	contig128253_195782_185208	0
"phosphoprotein phosphatase activity"	GO:0004721	2	contig107946_69479_110858	0
"phosphoprotein phosphatase activity"	GO:0004721	2	contig96362_105148_204751_179203_112698	0
"phosphoprotein phosphatase activity"	GO:0004721	2	contig108029_146401	0
"ion binding"	GO:0043167	2	contig590	0
"ion binding"	GO:0043167	2	contig613	0
"ion binding"	GO:0043167	2	contig896	0
"ion binding"	GO:0043167	2	contig1192	0
"ion binding"	GO:0043167	2	contig1792	0
"ion binding"	GO:0043167	2	contig3746	0
"ion binding"	GO:0043167	2	contig4499	0
"ion binding"	GO:0043167	2	contig5926	0
"ion binding"	GO:0043167	2	contig7438	0
"ion binding"	GO:0043167	2	contig8047	0
"ion binding"	GO:0043167	2	contig8644	0
"ion binding"	GO:0043167	2	contig8659	0
"ion binding"	GO:0043167	2	contig9228	0
"ion binding"	GO:0043167	2	contig9859	0
"ion binding"	GO:0043167	2	contig10089	0
"ion binding"	GO:0043167	2	contig10436	0
"ion binding"	GO:0043167	2	contig10629	0
"ion binding"	GO:0043167	2	contig10637	0
"ion binding"	GO:0043167	2	contig10752	0
"ion binding"	GO:0043167	2	contig10849	0
"ion binding"	GO:0043167	2	contig10967	0
"ion binding"	GO:0043167	2	contig11062	0
"ion binding"	GO:0043167	2	contig11142	0
"ion binding"	GO:0043167	2	contig11291	0
"ion binding"	GO:0043167	2	contig11633	0
"ion binding"	GO:0043167	2	contig12475	0
"ion binding"	GO:0043167	2	contig12556	0
"ion binding"	GO:0043167	2	contig12720	0
