"modGenes","modUniprotIDs"
"contig151651_13490_8769_157582","Q9JKC9"
"contig77141","O35857"
"contig110290","Q9UHD2"
"contig99899","No_Uniprotmatch"
"contig76668","Q80YV3"
"contig78876","Q29471"
"contig73970","Q8QFP8"
"contig80425","Q99PI5"
"contig153645","No_Uniprotmatch"
"contig600052","No_Uniprotmatch"
"contig114500","Q9UG63"
"contig104816_24210_191667","O15085"
"contig145024","Q8CDF7"
"contig170003","Q99P25"
"contig147763","No_Uniprotmatch"
"contig139420","No_Uniprotmatch"
"contig209422","E2C5S5"
"contig205996","Q5P9E0"
"contig151568","Q6UWE0"
"contig76275","Q2T9N1"
"contig160028_176242","Q66L51"
"contig189281_203950","D7FRJ7"
"contig116952","B1VEI4"
"contig68090","Q0KIA2"
"contig108850_112155_119823","No_Uniprotmatch"
"contig69398_146348","Q5R7X2"
"contig77984_188517","Q02083"
"contig189710","Q9JHE4"
"contig106760_147682","A2AQ19"
"contig147257","A6G9N1"
"contig158682_195022","P49183"
"contig96927_219124_168146","Q60779"
"contig134901","P26686"
"contig114994","No_Uniprotmatch"
"contig74440","O60290"
"contig81777","No_Uniprotmatch"
"contig186050","No_Uniprotmatch"
"contig212108_25634","A2ABV5"
"contig183396","O57342"
"contig204281","Q4R8Y8"
"contig600106","Q6PEC4"
"contig176406","Q8BLR2"
"contig211497_198736","D3ZZL9"
"contig153648","P51644"
"contig167212","Q80YV3"
"contig211719","No_Uniprotmatch"
"contig177852","No_Uniprotmatch"
"contig47379_80706","No_Uniprotmatch"
"contig159589","No_Uniprotmatch"
"contig214413","No_Uniprotmatch"
"contig131341","No_Uniprotmatch"
"contig152673","E9HQ24"
"contig58056","F6YJX3"
"contig203113","P08775"
"contig181342","No_Uniprotmatch"
"contig205765","Q0VDN7"
"contig103911","No_Uniprotmatch"
"contig111777","C3XPW6"
"contig157803_213990","Q7TM99"
"contig41524_117999","No_Uniprotmatch"
"contig118027","No_Uniprotmatch"
"contig38363_208347","No_Uniprotmatch"
"contig75034","Q3ZCC3"
"contig111974","Q69ZL1"
"contig157990_219785","No_Uniprotmatch"
"contig106503","Q93104"
"contig113301","Q8IZD2"
"contig146809","A3KMH1"
"contig153103","No_Uniprotmatch"
"contig117897","No_Uniprotmatch"
"contig110359_154408_178388","No_Uniprotmatch"
"contig109150","Q69ZL1"
"contig179095","Q6AX73"
"contig178840","Q9BRN9"
"contig208902","No_Uniprotmatch"
"contig172269_94827","Q08AW4"
"contig210985","No_Uniprotmatch"
"contig153385_138251_7150","Q7T2H2"
"contig16453_202324","Q9P2H3"
"contig119548","No_Uniprotmatch"
"contig184172_186114","Q8NDA2"
"contig54973","E5SYI1"
"contig152968","P35440"
"contig76543","Q5RG44"
"contig58686","Q09575"
"contig80259_147494","B0S733"
"contig177522","No_Uniprotmatch"
"contig189780","No_Uniprotmatch"
"contig177559","O60869"
"contig142399_212311","O42384"
"contig113605","No_Uniprotmatch"
"contig600087","D7F169"
"contig69440_114079_139781","Q68F70"
"contig151150","O35165"
"contig114075","Q04637"
"contig213194","Q6AYN9"
"contig178075","No_Uniprotmatch"
"contig208069","No_Uniprotmatch"
"contig157636_20155","Q9Y2C9"
"contig174765","No_Uniprotmatch"
"contig183086","Q6ICH7"
"contig210694","Q3TI53"
"contig185455_146452","Q9YHY6"
"contig203758","No_Uniprotmatch"
"contig211507","Q08DV5"
