name	term	lev	seq	value
"helicase activity"	GO:0004386	3	contig10089	0
"helicase activity"	GO:0004386	3	contig19756	0
"helicase activity"	GO:0004386	3	contig23877	0
"helicase activity"	GO:0004386	3	contig59955	0
"helicase activity"	GO:0004386	3	contig60572	0
"helicase activity"	GO:0004386	3	contig67809	0
"helicase activity"	GO:0004386	3	contig68556	0
"helicase activity"	GO:0004386	3	contig69665	0
"helicase activity"	GO:0004386	3	contig70619	0
"helicase activity"	GO:0004386	3	contig71327	0
"helicase activity"	GO:0004386	3	contig71744	0
"helicase activity"	GO:0004386	3	contig71785	0
"helicase activity"	GO:0004386	3	contig74614	0
"helicase activity"	GO:0004386	3	contig75192	0
"helicase activity"	GO:0004386	3	contig75402	0
"helicase activity"	GO:0004386	3	contig75419	0
"helicase activity"	GO:0004386	3	contig78505	0
"helicase activity"	GO:0004386	3	contig79087	0
"helicase activity"	GO:0004386	3	contig79180	0
"helicase activity"	GO:0004386	3	contig79492	0
"helicase activity"	GO:0004386	3	contig81229	0
"helicase activity"	GO:0004386	3	contig81819	0
"helicase activity"	GO:0004386	3	contig82999	0.656301305522578
"helicase activity"	GO:0004386	3	contig93694	0
"helicase activity"	GO:0004386	3	contig93872	0
"helicase activity"	GO:0004386	3	contig94357	0
"helicase activity"	GO:0004386	3	contig97820	0
"helicase activity"	GO:0004386	3	contig99852	0
"helicase activity"	GO:0004386	3	contig105650	0
"helicase activity"	GO:0004386	3	contig106004	0
"helicase activity"	GO:0004386	3	contig106020	0
"helicase activity"	GO:0004386	3	contig106118	0
"helicase activity"	GO:0004386	3	contig106878	0
"helicase activity"	GO:0004386	3	contig107351	0
"helicase activity"	GO:0004386	3	contig107577	0
"helicase activity"	GO:0004386	3	contig108201	0
"helicase activity"	GO:0004386	3	contig110693	0
"helicase activity"	GO:0004386	3	contig111213	0
"helicase activity"	GO:0004386	3	contig112737	0
"helicase activity"	GO:0004386	3	contig112756	0
"helicase activity"	GO:0004386	3	contig113500	0
"helicase activity"	GO:0004386	3	contig114421	0
"helicase activity"	GO:0004386	3	contig114719	0
"helicase activity"	GO:0004386	3	contig115072	0
"helicase activity"	GO:0004386	3	contig115821	0
"helicase activity"	GO:0004386	3	contig116804	0
"helicase activity"	GO:0004386	3	contig131904	0
"helicase activity"	GO:0004386	3	contig132595	0
"helicase activity"	GO:0004386	3	contig144850	0
"helicase activity"	GO:0004386	3	contig144988	0
"helicase activity"	GO:0004386	3	contig145216	0
"helicase activity"	GO:0004386	3	contig145401	0
"helicase activity"	GO:0004386	3	contig145763	0
"helicase activity"	GO:0004386	3	contig146760	0
"helicase activity"	GO:0004386	3	contig146782	0
"helicase activity"	GO:0004386	3	contig146790	0
"helicase activity"	GO:0004386	3	contig146908	0
"helicase activity"	GO:0004386	3	contig147060	0
"helicase activity"	GO:0004386	3	contig147176	0
"helicase activity"	GO:0004386	3	contig147282	0
"helicase activity"	GO:0004386	3	contig147517	0
"helicase activity"	GO:0004386	3	contig147755	0
"helicase activity"	GO:0004386	3	contig148089	0
"helicase activity"	GO:0004386	3	contig148555	0
"helicase activity"	GO:0004386	3	contig149872	0
"helicase activity"	GO:0004386	3	contig149934	0
"helicase activity"	GO:0004386	3	contig150455	0.632138767961177
"helicase activity"	GO:0004386	3	contig151111	0
"helicase activity"	GO:0004386	3	contig151446	0
"helicase activity"	GO:0004386	3	contig151591	0
"helicase activity"	GO:0004386	3	contig152393	0
"helicase activity"	GO:0004386	3	contig153525	0
"helicase activity"	GO:0004386	3	contig153725	0.648414188061014
"helicase activity"	GO:0004386	3	contig156955	0
"helicase activity"	GO:0004386	3	contig157294	0
"helicase activity"	GO:0004386	3	contig158836	0
"helicase activity"	GO:0004386	3	contig169253	0
"helicase activity"	GO:0004386	3	contig169641	0
"helicase activity"	GO:0004386	3	contig170325	0
"helicase activity"	GO:0004386	3	contig171361	0
"helicase activity"	GO:0004386	3	contig171719	0
"helicase activity"	GO:0004386	3	contig171830	0
"helicase activity"	GO:0004386	3	contig174703	0
"helicase activity"	GO:0004386	3	contig174997	0
"helicase activity"	GO:0004386	3	contig175887	0
