"modGenes","modUniprotIDs"
"contig104048","P67985"
"contig110798","Q28CJ6"
"contig173842","P34299"
"contig181294_176470","Q05975"
"contig114500","Q9UG63"
"contig171728_156942_119132_211762_194273_193854","Q8TCQ1"
"contig83096","Q6DID3"
"contig148609","Q5XGU5"
"contig209422","E2C5S5"
"contig216922","D7ELZ4"
"contig77096","Q96M91"
"contig189281_203950","D7FRJ7"
"contig116952","B1VEI4"
"contig189710","Q9JHE4"
"contig104852","Q7M559"
"contig156845","Q29451"
"contig106760_147682","A2AQ19"
"contig147257","A6G9N1"
"contig114994","No_Uniprotmatch"
"contig211497_198736","D3ZZL9"
"contig153648","P51644"
"contig71936","No_Uniprotmatch"
"contig112263_137966","Q9Y5X4"
"contig106326","Q9U9K0"
"contig76388","C3ZG83"
"contig153474","A4GSB0"
"contig41524_117999","No_Uniprotmatch"
"contig112795","Q6DIP3"
"contig214737","No_Uniprotmatch"
"contig105763_213652","Q13217"
"contig114428","Q9CZV5"
"contig113301","Q8IZD2"
"contig177208","Q8BN59"
"contig117897","No_Uniprotmatch"
"contig109150","Q69ZL1"
"contig160629","Q5R4K9"
"contig180867","No_Uniprotmatch"
"contig200319","Q7NBW0"
"contig148800","No_Uniprotmatch"
"contig21929","P38861"
"contig76543","Q5RG44"
"contig181401","Q5NVI3"
"contig118686","No_Uniprotmatch"
"contig151150","O35165"
"contig114075","Q04637"
"contig213194","Q6AYN9"
"contig160664","Q4VA61"
"contig210694","Q3TI53"
"contig8047","P42325"
"contig90864","Q6DHR8"
"contig104733","Q03669"
"contig159442_108037_113014","Q2KJ46"
"contig203758","No_Uniprotmatch"
"contig154451","Q7SC45"
"contig213071","No_Uniprotmatch"
"contig81458","No_Uniprotmatch"
"contig158472","No_Uniprotmatch"
"contig177044","No_Uniprotmatch"
"contig22691","No_Uniprotmatch"
"contig111068","No_Uniprotmatch"
"contig153936_205344","Q9GM70"
"contig11014","Q8BI21"
"contig185181","O57472"
"contig98539","Q29RK4"
"contig15424","C3ZG83"
"contig212830","No_Uniprotmatch"
"contig110561","Q9D8N3"
"contig216014","No_Uniprotmatch"
"contig108950","A1L1W9"
"contig83232","A2AWT3"
"contig162679","P62916"
"contig108010","No_Uniprotmatch"
"contig600180","Q8BSI6"
"contig188972","No_Uniprotmatch"
"contig207311","P46734"
"contig149177","No_Uniprotmatch"
"contig78078","Q5ZII3"
"contig194523","Q66T02"
"contig170250","B5X4E0"
"contig14114_148813","Q5I082"
"contig182931","No_Uniprotmatch"
"contig180794","No_Uniprotmatch"
"contig213600_23689","Q2VPA6"
"contig177510","Q5RBA4"
"contig119596","Q8BG21"
"contig211678","No_Uniprotmatch"
"contig189933","O60841"
"contig112556","P08478"
"contig109127_170689","No_Uniprotmatch"
"contig140918_157959","Q9HAU0"
"contig105501","No_Uniprotmatch"
"contig119661","Q9D4P0"
"contig73366","Q90673"
"contig207357","Q5REG4"
"contig193917","B3S931"
"contig210238","P51531"
"contig217220","No_Uniprotmatch"
"contig130152","Q5TM19"
"contig107811","Q5RD69"
"contig178263","P49792"
"contig193343_128473","No_Uniprotmatch"
"contig77645","Q3V6T2"
"contig23394","No_Uniprotmatch"
"contig120224","No_Uniprotmatch"
"contig119555","No_Uniprotmatch"
"contig19408","C3XVT5"
"contig112617","No_Uniprotmatch"
"contig181171","No_Uniprotmatch"
"contig5783","Q8CEE7"
"contig179382","No_Uniprotmatch"
"contig118901","Q2HJH6"
"contig148410","Q7ZVC2"
"contig187113_211938_187176_190571","Q96I24"
"contig107589_134182","Q91YN5"
"contig16231","Q13887"
"contig41889","Q95V84"
"contig130397","No_Uniprotmatch"
"contig179642","P15311"
"contig197203","P35789"
"contig203951","No_Uniprotmatch"
"contig185782","P57306"
"contig218911","No_Uniprotmatch"
"contig139851_111217_172140","No_Uniprotmatch"
"contig139635","No_Uniprotmatch"
"contig26748","No_Uniprotmatch"
"contig210790","Q03669"
"contig105526","P97360"
"contig119476","B3S0H9"
"contig177164","No_Uniprotmatch"
"contig187016","No_Uniprotmatch"
"contig182527","P06582"
"contig184253_153996_125963","P36423"
"contig191111","P70196"
"contig14678","C3YL60"
"contig82363","Q6NZW8"
"contig131927","No_Uniprotmatch"
"contig143777","No_Uniprotmatch"
"contig203982_210035_218454","P92208"
"contig150438","Q9UBS9"
"contig106179","Q2KJB5"
"contig207061","No_Uniprotmatch"
"contig180297","No_Uniprotmatch"
"contig186939","O73888"
"contig209807","P11617"
"contig216067","A1L1W9"
"contig104154","No_Uniprotmatch"
"contig151734","P10394"
"contig69270","No_Uniprotmatch"
"contig24535","No_Uniprotmatch"
"contig117750","Q5XHC1"
"contig151822","P37709"
"contig17591","No_Uniprotmatch"
"contig177688","Q3LG56"
"contig178856","No_Uniprotmatch"
"contig74055","Q8WXA9"
"contig184650","No_Uniprotmatch"
"contig81052","P49760"
"contig209030","C3YHE7"
"contig110703","No_Uniprotmatch"
"contig83387","No_Uniprotmatch"
"contig110356","No_Uniprotmatch"
"contig211603","Q6NRP2"
"contig109991","No_Uniprotmatch"
"contig210473","Q8NFD5"
"contig167539","B3P0K6"
"contig179930","O88379"
"contig180919","O08623"
"contig189153","Q03669"
"contig157558","No_Uniprotmatch"
"contig25693","Q5R889"
"contig212331","No_Uniprotmatch"
"contig212315","No_Uniprotmatch"
"contig81960_185836","Q5F4A1"
"contig192120","P61980"
"contig198144","Q6DHR8"
"contig107808","No_Uniprotmatch"
"contig77654_69370_110868_188530_137480","Q09K98"
"contig178710","Q4RY26"
"contig110145","Q8BG58"
"contig117512","P11048"
"contig176317","Q5REC0"
"contig175853","No_Uniprotmatch"
"contig600125","No_Uniprotmatch"
"contig211496","Q03001"
"contig185660","No_Uniprotmatch"
"contig81607","D7G4X9"
"contig129556","P83877"
"contig105020","No_Uniprotmatch"
"contig190094","E3TGJ1"
"contig179524","Q03049"
"contig203417","No_Uniprotmatch"
"contig146081","No_Uniprotmatch"
"contig178958","P20073"
"contig74742","Q7QJX9"
"contig218757","No_Uniprotmatch"
"contig176311","Q5NVI6"
"contig18858","Q8K4R4"
"contig108474_128978","No_Uniprotmatch"
"contig219040","No_Uniprotmatch"
"contig23704","No_Uniprotmatch"
"contig190162_159533","Q14789"
"contig20295","No_Uniprotmatch"
"contig25769","No_Uniprotmatch"
"contig111956","O76840"
"contig177893","Q5RE11"
"contig179030","No_Uniprotmatch"
"contig177224","Q00963"
"contig211375","Q9FKC7"
"contig120323","No_Uniprotmatch"
"contig157151","No_Uniprotmatch"
"contig111679","No_Uniprotmatch"
"contig179966_214580_118670","B0EJ54"
"contig22165","No_Uniprotmatch"
"contig196120","No_Uniprotmatch"
"contig150950","P42674"
"contig205510","Q6PDK2"
"contig154740","No_Uniprotmatch"
"contig179933","P25931"
"contig105326","C3YVW1"
"contig118122","No_Uniprotmatch"
"contig110155","No_Uniprotmatch"
"contig171837","Q05B92"
"contig94563","No_Uniprotmatch"
"contig131950","F6KMI2"
"contig184229","Q96AY4"
"contig111540","No_Uniprotmatch"
"contig148883","No_Uniprotmatch"
"contig188873","P48722"
"contig110389","F1Q806"
"contig181377","No_Uniprotmatch"
"contig176576","No_Uniprotmatch"
"contig186963","Q9BUZ4"
"contig165243","No_Uniprotmatch"
"contig151277","Q39019"
"contig112187","Q9VVY3"
"contig205224","No_Uniprotmatch"
"contig113815_192719","Q6AXJ7"
"contig158217","No_Uniprotmatch"
"contig176218","P08478"
"contig212615","No_Uniprotmatch"
"contig14107","Q9UNH6"
"contig187337","Q8SSJ5"
"contig122795","No_Uniprotmatch"
"contig153375","Q9Z1G4"
"contig94345","Q9VJ79"
"contig75548","Q8AVQ6"
"contig600066","No_Uniprotmatch"
"contig119334","P15336"
"contig68848","P58021"
"contig80249","P57729"
"contig210075","D7G068"
"contig107885_182290_209642","P70473"
"contig147087","Q08581"
"contig179037","O15027"
"contig179606","No_Uniprotmatch"
"contig5951","Q9NRL2"
"contig108393","No_Uniprotmatch"
"contig96924_203695_177534","Q6XUZ5"
"contig186052","No_Uniprotmatch"
"contig111607","No_Uniprotmatch"
"contig112868","No_Uniprotmatch"
"contig146455","No_Uniprotmatch"
"contig138574","No_Uniprotmatch"
"contig177105","No_Uniprotmatch"
"contig193948","Q9JM13"
"contig180334","Q96MD2"
"contig215515","Q8LAD0"
"contig23668","Q7YR26"
"contig109698","Q6P788"
"contig132273","No_Uniprotmatch"
"contig79090","No_Uniprotmatch"
"contig203977","Q3SYW6"
"contig188897","Q8BWU8"
"contig193395_22857","Q803D2"
"contig165394","No_Uniprotmatch"
"contig174601","Q9NPF8"
"contig160030","Q9GZT9"
"contig18342","P23468"
"contig106293","P59999"
"contig181163","O60841"
"contig112694_118674_204990","P48727"
"contig13389","Q6PD21"
"contig175527","Q8VHC8"
"contig77383","Q0P5M9"
"contig177368","P00528"
"contig205893","No_Uniprotmatch"
"contig182777","Q7RTR2"
"contig78904","No_Uniprotmatch"
"contig183984","P70196"
"contig42132","No_Uniprotmatch"
"contig205636","No_Uniprotmatch"
"contig195496","B3RQA2"
"contig179377","No_Uniprotmatch"
"contig180966","No_Uniprotmatch"
"contig158041","Q13887"
"contig60827","Q8CG08"
"contig208233","Q9DC11"
"contig108818","Q9PT60"
"contig99500","Q9U9K0"
"contig139196","No_Uniprotmatch"
"contig140663","Q5R4K9"
"contig136052_204237","Q9IB83"
"contig151741","Q3LG56"
"contig208919","Q9CR50"
"contig600228","No_Uniprotmatch"
"contig112653","O95685"
"contig177001","Q1LZ71"
"contig146751_179026","Q5BJT0"
"contig165510","No_Uniprotmatch"
"contig178258","Q9BGI2"
"contig97827","P70336"
"contig68849","Q3TI53"
"contig600085","No_Uniprotmatch"
"contig80245","B3RTL9"
"contig187585","Q61655"
"contig181943","Q0VBY0"
"contig192047_145238","Q8BML1"
"contig109257_213679","Q5XGU5"
"contig111118","O15027"
"contig71722","No_Uniprotmatch"
"contig176989","No_Uniprotmatch"
"contig153988_207869","Q07050"
"contig160269","Q9VDG2"
"contig104430","Q3U3V8"
"contig211367","No_Uniprotmatch"
"contig107829","P47193"
"contig211439","No_Uniprotmatch"
"contig180733","Q5R491"
"contig151764","No_Uniprotmatch"
"contig98165","Q2PZL6"
"contig93954","No_Uniprotmatch"
"contig219099","D7NNB6"
"contig190376","No_Uniprotmatch"
"contig110742","No_Uniprotmatch"
"contig147482","Q9DC11"
"contig97653","Q01721"
"contig180010","No_Uniprotmatch"
"contig116998","P78317"
"contig158158","Q8SQG9"
"contig78852","Q6GQD5"
"contig126010","Q7T005"
"contig180039","A9UNQ4"
"contig178590","P25931"
"contig117777","P07814"
"contig111397","No_Uniprotmatch"
"contig172211","A5D8W1"
"contig105861","No_Uniprotmatch"
"contig19870","Q8CIE6"
"contig20618_81869","P82649"
"contig210672","No_Uniprotmatch"
"contig108151","A0JPG1"
"contig179594","No_Uniprotmatch"
"contig111151","Q14789"
"contig82849","Q16656"
"contig139269_107539","Q9WV92"
"contig181675","P50579"
"contig176447","No_Uniprotmatch"
"contig181762","Q9JK72"
"contig214088","No_Uniprotmatch"
"contig181319","No_Uniprotmatch"
"contig177692","No_Uniprotmatch"
"contig78784","O95470"
"contig73312","No_Uniprotmatch"
"contig4067","No_Uniprotmatch"
"contig210038","Q26486"
"contig205569","Q5R5L3"
"contig114705","O55076"
"contig153224","Q86UP6"
"contig210078","No_Uniprotmatch"
"contig164044","Q86Y13"
"contig21305","Q8K4C0"
"contig149799","Q92870"
"contig179541","No_Uniprotmatch"
"contig182787","No_Uniprotmatch"
"contig182506","No_Uniprotmatch"
"contig213416","A6H584"
"contig204125","Q66HG8"
"contig165975_151398","No_Uniprotmatch"
"contig213768","No_Uniprotmatch"
"contig82771","Q6NXH2"
"contig105839","P83038"
"contig78031","No_Uniprotmatch"
"contig179513","Q5R4G6"
"contig184060","Q14789"
"contig117845","E6ZTB1"
"contig82809","No_Uniprotmatch"
"contig113470","Q6YGZ5"
"contig153566","Q9HC24"
"contig213146","Q9BXF3"
"contig177903_181942","P63036"
"contig184007_129602","No_Uniprotmatch"
"contig210732","Q5RC82"
"contig215080","No_Uniprotmatch"
"contig178159","P26779"
"contig119490","Q6UWE0"
"contig179420","Q6P132"
"contig159984_128660_176758_126824","No_Uniprotmatch"
"contig115626","No_Uniprotmatch"
"contig189128_176436","P61107"
"contig188871","No_Uniprotmatch"
"contig179096","C5M6Z2"
"contig92493","No_Uniprotmatch"
"contig12071","Q9JJP6"
"contig5548","Q7SXP0"
"contig200176","No_Uniprotmatch"
"contig171381_177618_182803","Q8VDU0"
"contig181327_177868","P35440"
"contig211926","Q9BXF3"
"contig11311","Q8CEE7"
"contig218275","No_Uniprotmatch"
"contig209465","P91580"
"contig195649","O18405"
"contig184103","No_Uniprotmatch"
"contig177668","O89032"
"contig75248","Q9FKC7"
"contig82653","No_Uniprotmatch"
"contig112955","No_Uniprotmatch"
"contig179804","P09917"
"contig210963","Q5HLD8"
"contig132517","No_Uniprotmatch"
"contig129993","Q960X8"
"contig189119","Q9HC24"
"contig179484","Q32Q86"
"contig151275","P08872"
"contig176556","Q9R194"
"contig106341","Q8BN59"
"contig82701","Q9Y5U9"
"contig183447","No_Uniprotmatch"
"contig177958","Q5R7S6"
"contig70435","Q6BUT3"
"contig171136","Q13017"
"contig179887","Q5U3H2"
"contig104877_108731_210008","Q5H7N8"
"contig105518","P62836"
"contig213447","Q8C0Z1"
"contig210943","No_Uniprotmatch"
"contig193685","No_Uniprotmatch"
"contig121910","No_Uniprotmatch"
"contig181364","No_Uniprotmatch"
"contig76050","Q2HJ57"
"contig154003","Q9JM13"
"contig189698","P39572"
"contig106504","O35207"
"contig106200","Q28DT9"
"contig180091","No_Uniprotmatch"
"contig214023_20161","Q8N6S4"
"contig121476","Q8K0Q5"
"contig218361","O35231"
"contig164219","Q5R6Y0"
"contig175542","Q5TC82"
"contig176756","No_Uniprotmatch"
"contig180908","Q8IUC4"
"contig80343","Q5R6Q2"
"contig211168","P47740"
"contig110775","No_Uniprotmatch"
"contig175719","Q5R7X2"
"contig218380","No_Uniprotmatch"
"contig105768","Q9NYV6"
"contig73909","P24044"
"contig75062","A9UP47"
"contig115021","P62484"
"contig170300","Q7ZU99"
"contig165527","No_Uniprotmatch"
"contig110707","Q9JJP6"
"contig116758","Q9NY99"
"contig69074","Q2T9T9"
"contig156616","Q95JZ9"
