"modGenes","modUniprotIDs"
"contig105411","Q5TC82"
"contig177560_105819","P42297"
"contig79864_148237","Q5U247"
"contig186391_149712","Q9H8H2"
"contig181835","No_Uniprotmatch"
"contig86056","No_Uniprotmatch"
"contig213149","Q3KPV4"
"contig600206","Q8BHI9"
"contig176827_200065","Q2YDR3"
"contig150101","No_Uniprotmatch"
"contig112827","D6X4F4"
"contig157803_213990","Q7TM99"
"contig151047","Q6INU7"
"contig110359_154408_178388","No_Uniprotmatch"
"contig74144","Q5XII8"
"contig107354","C3Y4H5"
"contig26374","Q28C65"
"contig177522","No_Uniprotmatch"
"contig75115_26277","Q9CPY6"
"contig142399_212311","O42384"
"contig151461","P46864"
"contig146918","O95714"
"contig116579","Q9Z1Q3"
"contig106909","P51166"
"contig111764_69995","Q68EH9"
"contig181811_96743_82087","Q9R0N7"
"contig131435","P07379"
"contig211009","No_Uniprotmatch"
"contig193657","No_Uniprotmatch"
"contig185988_153892_93959","Q61655"
"contig155137","Q4L9P0"
"contig82045","F1Q806"
"contig155610","Q8N2E2"
"contig20097","Q8BW96"
"contig180407","Q8WXG9"
"contig176727","No_Uniprotmatch"
"contig113018","Q9NY64"
"contig176258","No_Uniprotmatch"
"contig150544","Q9P2E3"
"contig13661_22688","Q8BH74"
"contig95004","Q811I0"
"contig209118","Q9UPV0"
"contig188699","No_Uniprotmatch"
"contig174342","Q54G05"
"contig44150","P25386"
"contig600122","P61917"
"contig104920","O94880"
"contig56391","C3ZGC7"
"contig176014","Q761X5"
"contig205118","Q9D9G2"
"contig153423","Q5PPK1"
"contig204726","No_Uniprotmatch"
"contig190625","No_Uniprotmatch"
"contig211950","Q5UIP0"
"contig150971","P93212"
"contig131688_167032","Q2IA00"
"contig108386","Q59J78"
"contig117213_176904","Q8VEG4"
"contig117540","Q08CS6"
"contig73436","No_Uniprotmatch"
"contig177485","No_Uniprotmatch"
"contig176825","P70490"
"contig149760","P06872"
"contig211789","Q6IP59"
"contig211461","Q5XJ85"
"contig68188","Q3SYS4"
"contig209801","Q99J56"
"contig600128","Q9UGM3"
"contig209840_179492","Q03350"
"contig139134","No_Uniprotmatch"
"contig211389","No_Uniprotmatch"
"contig81366","Q9D920"
"contig112268_119770","Q9NGQ2"
"contig119099","Q95SX7"
"contig75098","No_Uniprotmatch"
"contig189123_154028","Q9UM54"
"contig181227","Q4T8Q4"
"contig174969_116469_179308","Q12288"
"contig151990","P07314"
"contig178506","E9GJ80"
"contig77744","Q08257"
"contig183439","Q08CS6"
"contig78193","Q9ER63"
"contig213813","Q3URQ0"
"contig207362","A0JN27"
"contig18342","P23468"
"contig104922","Q91857"
"contig147426","P29147"
"contig171463","No_Uniprotmatch"
"contig157188_188876","Q6P360"
"contig182456","No_Uniprotmatch"
"contig178192","No_Uniprotmatch"
"contig99543","P17124"
"contig158846","No_Uniprotmatch"
"contig178485","P00918"
"contig153557","E9CBI9"
"contig185597_187466","Q60902"
"contig158637","Q96MD7"
"contig150498","No_Uniprotmatch"
"contig169629","C9JJ37"
"contig78439_119085_106345","Q62635"
"contig152222","Q96RW7"
"contig93732","P50430"
"contig179348_213511","Q5R9D9"
"contig117642","Q9Y2C9"
"contig600070","Q7LHG5"
"contig94447","Q709C8"
"contig213773","Q9ET30"
"contig153491","P40879"
"contig185382","B2TKH7"
"contig178252_195483","No_Uniprotmatch"
"contig600119","Q7L1S5"
"contig158009","Q9ULV0"
"contig116896","A9UNQ4"
"contig145910","Q90623"
"contig115906_153518","P54644"
"contig178520","Q29599"
"contig105375","Q5R952"
"contig219287","No_Uniprotmatch"
"contig157107","No_Uniprotmatch"
"contig111692","Q5ZMP6"
"contig108414","No_Uniprotmatch"
"contig87011","O15297"
"contig216385","C3ZCE0"
