"modGenes","modUniprotIDs"
"contig170486","B3S6K9"
"contig156345","O88794"
"contig151315","Q2Y0W8"
"contig73584","Q8BMP6"
"contig79655","Q5R687"
"contig70731","P34897"
"contig210341","No_Uniprotmatch"
"contig147993","Q80XK6"
"contig106735","Q5ZJL4"
"contig149033","Q5R826"
"contig153262","Q9X248"
"contig168672","Q9UIF8"
"contig187181","P04186"
"contig218729_76429_205346_93857","O00410"
"contig204122","Q5RC43"
"contig179294","P82911"
"contig159870_68657_218028","Q9UKN1"
"contig218680_169808_112345_78917","Q6DRJ4"
"contig68716","P98088"
"contig210781","Q689Z5"
"contig174281","Q3LG56"
"contig80211_145487","Q99P88"
"contig169871","Q9Y6K8"
"contig70061_148962","No_Uniprotmatch"
"contig156451_210505_110203_114454","Q9I7W5"
"contig106703_18337_157669_69213_137379_204527","O43290"
"contig148767_201398","Q8R3G1"
"contig218640","O76387"
"contig148604","Q5JTH9"
"contig209919","P21849"
"contig146999","Q5U3K5"
"contig205535","F2UPL5"
"contig149919","C3YKB5"
"contig148560","Q16891"
"contig52413","Q02224"
"contig150930","Q91W67"
"contig75402","Q5XH91"
"contig169676","O94826"
"contig137981_203898_145182","Q5ND34"
"contig146739","P57787"
"contig150071","A3KPN8"
"contig76563","No_Uniprotmatch"
"contig104240","O75581"
"contig149092_130434_4116_116837","Q63553"
"contig97500_17413","Q86Y13"
"contig68485","O00763"
"contig12648_209961","Q99KB8"
"contig147687","Q54G05"
"contig148869_104994","Q9UPV0"
"contig145147","P13395"
"contig105708","Q13823"
"contig203588","P56517"
"contig99256","Q13435"
"contig90077_106627","No_Uniprotmatch"
"contig171834_72205","O60524"
"contig175872","Q07617"
"contig147619","P12270"
"contig98228_195843_100115","Q9JI78"
"contig77715","P35492"
"contig70428_12324","Q8N5D0"
"contig97358","P14733"
"contig149431","O08837"
"contig148101","Q5R5L3"
"contig75088","Q07DZ7"
"contig214406","C0H691"
"contig76542_78308","Q08BR4"
"contig73794","Q6PF21"
"contig76783_77612_106844_216081_195491_79244","Q8IUR6"
"contig205045_204923","Q95KD7"
"contig138627","Q6P8E9"
"contig148275_12795_92470","Q3UV71"
"contig205619","Q9CZX5"
"contig171538_80138_140469","Q14527"
"contig158520_177744","A0JMY4"
"contig98143","Q5R8B2"
"contig12608","Q5RC87"
"contig600152","Q6ZRR9"
"contig188704","Q9Y6M1"
"contig204219","Q96HJ3"
"contig210514","Q5R7X2"
"contig175829","P14733"
"contig96588","O42254"
"contig204526","Q07DZ7"
"contig105635_152993","Q6P4L9"
"contig215806","Q7T2Z5"
"contig66833","Q7ZTM9"
"contig147146","Q86VS8"
"contig147212","Q921D9"
"contig81969","Q4V863"
"contig169643","P12270"
"contig600091","No_Uniprotmatch"
"contig52948_182462","P79746"
"contig205659_169896","No_Uniprotmatch"
"contig70205","Q96ST3"
"contig600195","Q642C0"
"contig202120","O54826"
"contig68618","Q14974"
"contig154489_204572","Q8WYA0"
"contig149904","P21127"
"contig75225","No_Uniprotmatch"
"contig176675_203803","Q6NWC9"
"contig204003_190053_213020_110782","O75643"
"contig204245","Q5VUA4"
"contig94372_75349_210885","Q5BLE2"
"contig73714","Q29RZ0"
"contig145267","Q5RB68"
"contig148816_186552","No_Uniprotmatch"
"contig152006","Q9Y6D9"
"contig145326","P17706"
"contig73739_209573","Q5RDE7"
"contig112244_120296","Q08288"
"contig149739","Q28G87"
"contig209719_172127","Q552M5"
"contig147503","P50426"
"contig150711_103964","O15992"
"contig66864_118464_211221","Q9BYE7"
"contig80443","Q6GMH0"
"contig176700","Q1ED39"
"contig205183","Q9ERQ8"
"contig209195","P22607"
"contig203773","Q28H87"
"contig153395","Q812D1"
"contig107344_203427_218804","Q9DGQ7"
"contig211950","Q5UIP0"
"contig145216","Q8NDG6"
"contig149957","Q9ZQ81"
"contig146783","Q6DH69"
"contig145735","Q13330"
"contig169869","Q6GL77"
"contig146910","Q02241"
"contig209153","Q9VBX3"
"contig204931","Q5FYB0"
"contig74055","Q8WXA9"
"contig69445","Q812D1"
"contig153225","P50429"
"contig139114_78996_117036","Q13610"
"contig175583","No_Uniprotmatch"
"contig22200_25807","Q8C1Z8"
"contig24179","Q869E1"
"contig122625","Q9H4G4"
"contig204119","Q5EB97"
"contig205328_111585_82039","Q61037"
"contig202010","A4YI89"
"contig146134","P12107"
"contig175626","Q9UKV3"
"contig147400","P13086"
"contig146962","Q8R344"
"contig148168","Q9D7H2"
"contig13107","Q96K12"
"contig74992","Q9ESD7"
"contig169763_169579_155912_194529_211249","Q8CGF7"
"contig96799","Q8BIH0"
"contig98553_55461_17564_146890","A1A5F2"
"contig99634_111216","P51397"
"contig76982_2476","P42356"
"contig120215","C3Z3S5"
"contig149872","Q9BUQ8"
"contig213331","Q92820"
"contig153156","Q5U317"
"contig110520","Q8CEL2"
"contig107038_176913_23072_214634","Q63505"
"contig97702_194794","Q5ZIN1"
"contig209940","No_Uniprotmatch"
"contig70496_68900","O18896"
"contig171533","Q15542"
"contig73405","Q5ZMW3"
"contig173700","Q9F234"
"contig153226_112600","P13255"
"contig170585","Q2TBH5"
"contig201829","Q0V9S9"
"contig69439","Q14789"
"contig148690","P13866"
"contig146117_180387","P53610"
"contig103949","Q7SXL3"
"contig76677","Q8BMB3"
"contig65562","Q8BGI4"
"contig56648","P17955"
"contig186111","No_Uniprotmatch"
"contig176035","Q8IZQ5"
"contig175552","Q27W01"
"contig147429","P42669"
"contig155445_112257_118087_154396","Q99K85"
"contig169657","Q61074"
"contig150506_100093","A7YVH9"
"contig165004_72503","Q8RWN2"
"contig145744","Q99ME9"
"contig112144","Q9H0G5"
"contig148784","B0BNA1"
"contig147111","No_Uniprotmatch"
"contig151845_120385_68594","P27653"
"contig203064","Q0VFN8"
"contig73796","Q13439"
"contig115264_171299","Q5IS58"
"contig170196","Q13435"
"contig175946","Q6BUE3"
"contig189123_154028","Q9UM54"
"contig101652_118512_155327_152629_13815_194650","Q7ZVB2"
"contig146290","F4WNY7"
"contig147932","Q28IJ3"
"contig201874_217067","Q6AYP6"
"contig150795","O60749"
"contig97854","Q05AQ8"
"contig178439","Q61425"
"contig76760_130904","Q95LM1"
"contig147447","Q9JKL7"
"contig212241","Q9Y3D8"
"contig126200","E9I024"
"contig214637_183712","No_Uniprotmatch"
"contig211544","P49321"
"contig76217","P14733"
"contig169651_204061","Q69YN4"
"contig59703","Q54G05"
"contig66825","Q9UKN1"
"contig211935_83200","A8MU46"
"contig146693","Q9NEW6"
"contig100347_112826","Q9EPL9"
"contig23573_103235_175818_147600","P10079"
"contig115521_115569_98294_189962","Q9NZ52"
"contig219345","Q9Y2E4"
"contig147744","Q17QF0"
"contig70644","P83917"
"contig186985_166776","Q0V8T4"
"contig107464_139478","P86229"
"contig153057_113775","Q1WK23"
"contig147319","O02691"
"contig218304_81205_71518","Q15269"
"contig145763","Q62780"
"contig77076","No_Uniprotmatch"
"contig177570_145545","O27188"
"contig153452_187372","Q63HN8"
"contig60806","P83758"
"contig71177","Q8BP00"
"contig149410","Q99LH1"
"contig182249","Q9U3S9"
"contig148833","No_Uniprotmatch"
"contig147530","O93484"
